"Nr
okr.","Siedziba
OKW",TERYT,Powiat,Liczba obwodów głosowania,Liczba uprawnionych do głosowania,Liczba kart wydanych,Liczba kart ważnych,Liczba głosów ważnych,Komitet Wyborczy Platforma Obywatelska Rzeczypospolitej Polskiej,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,Komitet Wyborczy Unii Polityki Realnej,Narodowy Komitet Wyborczy Wyborców,Komitet Wyborczy Inicjatywa dla Polski,Komitet Wyborczy Wyborców Socjaldemokracji Polskiej,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Liga Polskich Rodzin,"Komitet Wyborczy Wyborców - Ogólnopolski Komitet Obywatelski ""OKO""",Komitet Wyborczy Unii Wolności,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Koalicyjny Komitet Wyborczy KPEiR-PLD,"Komitet Wyborczy Antyklerykalnej Partii Postępu ""Racja""",Komitet Wyborczy Polskiej Partii Narodowej,Komitet Wyborczy Wyborców Konfederacja Ruch Obrony Bezrobotnych,Komitet Wyborczy Wyborców Zieloni 2004,Komitet Wyborczy Narodowego Odrodzenia Polski,"Komitet Wyborczy Wyborców ""Razem dla Przyszłości""",Komitet Wyborczy Demokratycznej Partii Lewicy
1,Gdańsk,220100,bytowski,60,57067,9803,9801,9430,2741,73,1494,507,106,199,52,432,582,1262,33,425,1447,77,,,,,,,
1,Gdańsk,220200,chojnicki,59,69350,13464,13446,12954,3207,102,2096,864,308,389,73,456,1001,3175,51,642,480,110,,,,,,,
1,Gdańsk,220300,człuchowski,47,45298,7933,7930,7432,1604,101,1535,830,114,129,84,444,550,899,46,533,460,103,,,,,,,
1,Gdańsk,220400,gdański,43,61118,12320,12315,11949,4599,82,1147,619,224,531,101,672,1248,1379,71,845,346,85,,,,,,,
1,Gdańsk,220500,kartuski,60,74414,17971,17965,17414,7663,116,2482,505,142,371,47,374,1472,3228,31,409,434,140,,,,,,,
1,Gdańsk,220600,kościerski,44,49719,10279,10269,9918,3544,52,1261,413,76,167,40,346,1113,1768,21,791,284,42,,,,,,,
1,Gdańsk,220700,kwidzyński,50,61946,10025,10023,9672,3550,86,1355,699,163,193,59,474,767,1158,38,483,281,366,,,,,,,
1,Gdańsk,220800,lęborski,43,48853,9289,9277,8969,2400,81,1288,739,127,112,63,631,690,2026,30,493,204,85,,,,,,,
1,Gdańsk,220900,malborski,37,49946,9053,9048,8743,2411,69,1164,854,182,227,55,536,809,1120,52,636,509,119,,,,,,,
1,Gdańsk,221000,nowodworski,26,28218,4773,4767,4560,1148,29,909,303,59,112,33,215,377,483,22,474,276,120,,,,,,,
1,Gdańsk,221100,pucki,47,55373,12687,12684,12305,5105,78,1385,567,155,624,69,623,831,1646,57,754,272,139,,,,,,,
1,Gdańsk,221200,słupski,72,71846,9569,9556,9172,1871,80,1626,750,163,173,153,697,611,1359,59,783,725,122,,,,,,,
1,Gdańsk,221300,starogardzki,87,91051,17120,17115,16388,4334,136,2517,1050,163,433,109,735,1672,2753,93,1028,997,368,,,,,,,
1,Gdańsk,221400,tczewski,72,85609,16956,16951,16333,4587,130,1687,1630,201,437,179,717,2514,2310,86,1273,404,178,,,,,,,
1,Gdańsk,221500,wejherowski,89,130817,31411,31386,30459,11339,157,2441,1224,454,1162,169,1372,3613,5468,135,2087,585,253,,,,,,,
1,Gdańsk,221600,sztumski,35,33632,4999,4995,4734,1100,53,758,385,84,94,36,214,384,459,29,200,873,65,,,,,,,
1,Gdańsk,226101,Gdańsk,211,363068,115194,115108,113390,45986,315,3998,5783,2353,5096,1091,7370,17197,12565,398,9766,698,774,,,,,,,
1,Gdańsk,226201,Gdynia,118,200552,63408,63315,62329,25205,200,2041,4232,1658,2158,598,4560,7232,7395,258,5386,396,1010,,,,,,,
1,Gdańsk,226301,Słupsk,46,78383,16750,16734,16380,4264,81,1257,1812,301,265,245,1312,1400,2915,57,2058,289,124,,,,,,,
1,Gdańsk,226401,Sopot,23,33818,13347,13328,13202,5869,19,295,615,205,618,102,1012,1871,1230,40,1199,66,61,,,,,,,
1,Gdańsk,229901,Statki,5,324,283,283,232,86,4,14,9,11,5,4,19,39,10,1,21,8,1,,,,,,,
2,Bydgoszcz,40100,aleksandrowski,40,44186,8178,8171,7873,1365,44,1237,753,96,42,42,257,1505,1064,28,625,721,94,,,,,,,
2,Bydgoszcz,40200,brodnicki,52,57779,9606,9598,9257,1506,87,1744,657,127,41,56,273,621,1816,38,720,1455,116,,,,,,,
2,Bydgoszcz,40300,bydgoski,65,68849,11232,11230,10727,2632,94,1692,1134,262,48,141,476,909,1610,93,765,785,86,,,,,,,
2,Bydgoszcz,40400,chełmiński,41,39965,6047,6043,5852,939,49,986,944,92,36,43,209,388,1196,39,469,411,51,,,,,,,
2,Bydgoszcz,40500,golubsko-dobrzyński,28,33980,5267,5263,5049,776,39,1374,430,75,26,27,166,319,907,18,389,466,37,,,,,,,
2,Bydgoszcz,40600,grudziądzki,33,29304,4027,4023,3851,442,53,1150,353,41,18,57,131,222,694,17,167,474,32,,,,,,,
2,Bydgoszcz,40700,inowrocławski,118,131633,20859,20823,19825,4547,190,2397,2166,271,105,238,1465,1663,3402,180,1423,1567,211,,,,,,,
2,Bydgoszcz,40800,lipnowski,49,50957,6775,6773,6487,1218,43,1351,617,70,37,60,231,557,887,28,255,987,146,,,,,,,
2,Bydgoszcz,40900,mogileński,35,36328,5894,5883,5606,707,64,872,627,70,23,67,458,355,1149,44,317,792,61,,,,,,,
2,Bydgoszcz,41000,nakielski,61,65504,12302,12289,11787,2605,88,1344,1333,353,41,102,420,715,1574,87,468,2455,202,,,,,,,
2,Bydgoszcz,41100,radziejowski,41,34102,4495,4494,4207,389,17,1068,378,51,56,29,196,260,631,31,178,881,42,,,,,,,
2,Bydgoszcz,41200,rypiński,33,34921,4435,4434,4325,769,25,734,262,58,30,155,187,612,603,21,197,639,33,,,,,,,
2,Bydgoszcz,41300,sępoleński,30,31435,5130,5130,4896,1145,36,838,460,81,24,55,155,273,900,35,212,616,66,,,,,,,
2,Bydgoszcz,41400,świecki,70,75775,12435,12422,11838,2673,118,1890,1049,234,132,137,430,853,1905,77,601,1620,119,,,,,,,
2,Bydgoszcz,41500,toruński,50,63735,9317,9311,8961,2010,52,1463,825,124,55,44,166,695,1532,36,1313,557,89,,,,,,,
2,Bydgoszcz,41600,tucholski,38,35749,8454,8452,8117,4254,41,871,427,69,16,29,334,239,1004,15,179,600,39,,,,,,,
2,Bydgoszcz,41700,wąbrzeski,21,27255,3779,3778,3616,706,32,871,307,37,22,23,107,239,554,19,350,306,43,,,,,,,
2,Bydgoszcz,41800,włocławski,69,66995,8239,8231,7801,1085,68,2184,575,68,275,45,461,536,1113,53,286,799,253,,,,,,,
2,Bydgoszcz,41900,żniński,56,54514,9039,9035,8487,1365,93,1443,945,97,26,545,377,474,1428,66,374,1164,90,,,,,,,
2,Bydgoszcz,46101,Bydgoszcz,204,297347,74522,74463,72555,21062,241,3783,9787,1506,191,1039,3877,8127,12655,742,6995,1945,605,,,,,,,
2,Bydgoszcz,46201,Grudziądz,53,80012,12434,12428,12033,3086,118,1281,1674,159,48,118,755,1288,1774,72,1211,274,175,,,,,,,
2,Bydgoszcz,46301,Toruń,116,162068,42621,42592,41961,10889,114,1939,3779,583,351,212,1088,4115,5658,67,12550,361,255,,,,,,,
2,Bydgoszcz,46401,Włocławek,61,96490,17745,17676,17126,4023,95,1971,1848,289,418,63,1970,1746,2165,56,1392,381,709,,,,,,,
3,Olsztyn,200100,augustowski,36,46513,7368,7362,7214,1725,44,1619,405,64,187,110,209,774,1395,44,144,352,51,,20,71,,,,
3,Olsztyn,200200,białostocki,103,107520,20640,20634,20233,4851,81,2583,793,227,1342,282,470,2207,5520,202,676,644,216,,18,121,,,,
3,Olsztyn,200300,bielski,48,49232,8617,8610,8429,861,40,1298,522,56,1121,77,482,827,2126,38,612,233,62,,6,68,,,,
3,Olsztyn,200400,grajewski,34,39020,5838,5836,5641,1029,48,1137,227,46,131,69,139,599,1441,32,105,466,53,,7,112,,,,
3,Olsztyn,200500,hajnowski,45,42391,5030,5013,4864,814,40,986,773,57,49,65,410,258,451,65,603,163,75,,9,46,,,,
3,Olsztyn,200600,kolneński,36,31188,4615,4607,4484,565,36,1140,181,30,84,42,76,387,1387,24,26,438,29,,3,36,,,,
