Okręg,TERYT,Powiat,L. obw.,Upr.,"Wydane
karty","Głosy
oddane","Głosy
ważne",1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwość,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
12,201,bolesławiecki,54,71252,13924,13888,13618,145,718,304,139,128,2101,225,165,6477,3216,,
12,202,dzierżoniowski,72,87805,18422,18380,18057,208,601,386,207,255,2788,469,196,8542,4405,,
12,203,głogowski,54,72147,15533,15525,15252,164,451,244,344,180,2395,268,178,7060,3968,,
12,204,górowski,27,28935,4135,4123,3998,60,426,223,41,59,475,90,40,1700,884,,
12,205,jaworski,38,42638,7938,7935,7754,70,672,224,98,129,1151,160,79,3240,1931,,
12,206,jeleniogórski,53,52797,10769,10765,10482,152,695,182,80,120,1374,202,133,5597,1947,,
12,207,kamiennogórski,36,37441,7522,7521,7334,79,400,141,69,75,913,540,91,3385,1641,,
12,208,kłodzki,126,139095,28162,28130,27537,350,2759,709,290,513,3623,490,332,12326,6145,,
12,209,legnicki,45,42796,7802,7800,7593,91,724,251,102,139,885,149,127,3171,1954,,
12,210,lubański,44,46960,9058,9044,8844,76,1031,194,77,80,1642,154,124,3514,1952,,
12,211,lubiński,73,86234,19267,19246,18916,161,852,255,116,150,2486,416,184,8824,5472,,
12,212,lwówecki,38,38696,6917,6915,6715,74,861,129,85,78,943,98,107,2718,1622,,
12,213,milicki,28,29292,5541,5541,5404,71,537,137,53,132,919,130,56,2002,1367,,
12,214,oleśnicki,60,83151,16784,16775,16432,192,859,327,149,161,2687,381,139,6955,4582,,
12,215,oławski,45,58326,13897,13892,13658,112,426,225,103,186,1627,260,143,6876,3700,,
12,216,polkowicki,43,48366,8954,8945,8736,82,429,306,86,81,950,155,150,4109,2388,,
12,217,strzeliński,34,36747,6928,6925,6773,61,585,237,140,87,958,127,75,2748,1755,,
12,218,średzki,28,39952,6966,6963,6822,93,557,165,58,120,872,182,86,2976,1713,,
12,219,świdnicki,99,131472,28856,28845,28338,320,1072,517,338,332,3660,630,322,13923,7224,,
12,220,trzebnicki,43,62597,12271,12265,12060,155,671,260,109,180,1496,321,121,5699,3048,,
12,221,wałbrzyski,117,149180,31422,31408,30846,247,648,405,280,251,5129,967,306,17134,5479,,
12,222,wołowski,34,40055,7922,7903,7716,81,378,190,101,131,1034,179,97,3670,1855,,
12,223,wrocławski,66,85009,19631,19621,19307,253,932,346,136,318,1930,622,275,9688,4807,,
12,224,ząbkowicki,65,56354,10749,10747,10451,177,1058,364,137,151,1301,216,137,4327,2583,,
12,225,zgorzelecki,70,76932,15105,15094,14689,166,735,229,177,182,2327,252,159,6798,3664,,
12,226,złotoryjski,38,36908,6782,6781,6595,80,495,192,71,76,777,148,60,3185,1511,,
12,261,"Jelenia Góra, m.",46,69954,18929,18895,18597,243,615,207,135,136,2680,361,140,10255,3825,,
12,262,"Legnica, m.",49,82646,20772,20750,20425,181,452,200,120,308,3719,457,231,9480,5277,,
12,264,"Wrocław, m.",299,505663,178151,177943,176263,2288,1987,752,874,1782,23934,8300,1675,93096,41575,,
2,401,aleksandrowski,43,45181,9005,9000,8743,111,1447,239,67,75,1465,97,86,3303,1853,,
2,402,brodnicki,53,59670,11399,11398,11097,55,2566,317,81,86,1237,80,115,4072,2488,,
2,403,bydgoski,70,78535,17996,17991,17577,207,1741,418,117,191,4385,117,182,7429,2790,,
2,404,chełmiński,42,40520,7310,7308,7119,63,877,189,70,145,1190,58,68,2950,1509,,
2,405,golubsko-dobrzyński,28,35126,6557,6555,6356,65,888,526,34,47,1214,65,50,2170,1297,,
2,406,grudziądzki,33,30662,4432,4430,4312,32,884,393,47,53,486,59,66,1488,804,,
2,407,inowrocławski,117,133103,27143,27106,26417,208,3200,444,220,263,5953,630,247,10734,4518,,
2,408,lipnowski,53,52109,8217,8217,7952,70,2590,265,65,68,1000,76,65,2333,1420,,
2,409,mogileński,35,37304,7071,7071,6852,46,1362,214,74,80,1342,57,75,2573,1029,,
2,410,nakielski,63,67978,14355,14349,13919,110,1842,299,92,153,3996,82,133,4933,2279,,
2,411,radziejowski,42,34518,4743,4733,4554,40,984,264,126,50,827,90,60,1171,942,,
2,412,rypiński,34,35544,5117,5106,4984,41,735,127,50,27,738,97,48,1894,1227,,
2,413,sępoleński,30,32589,5963,5958,5822,61,1079,170,51,70,1043,59,42,1980,1267,,
2,414,świecki,70,77221,14316,14303,13898,114,2495,426,118,143,2585,110,128,5749,2030,,
2,415,toruński,57,71323,14041,14028,13679,144,1936,272,94,130,1238,96,106,6231,3432,,
2,416,tucholski,38,37315,8496,8472,8220,72,1580,231,40,104,1005,55,110,3751,1272,,
2,417,wąbrzeski,22,27703,4488,4486,4362,53,694,218,46,63,541,36,42,1947,722,,
2,418,włocławski,73,69162,10127,10125,9681,59,1515,493,87,78,1966,544,94,2889,1956,,
2,419,żniński,57,55861,11707,11679,11306,90,2403,275,83,115,2208,113,146,4200,1673,,
2,461,"Bydgoszcz, m.",205,292020,97277,97205,95931,881,4124,492,419,743,30251,601,926,38180,19314,,
2,462,"Grudziądz, m.",54,79778,18527,18526,18179,107,605,162,156,113,3315,472,119,10139,2991,,
2,463,"Toruń, m.",119,160712,54227,54154,53579,472,1852,237,213,332,6587,360,518,30975,12033,,
2,464,"Włocławek, m.",61,95969,23333,23276,22771,164,693,287,163,148,4828,523,163,11465,4337,,
