Nr okr.,TERYT,Powiat,L. obw.,Liczba uprawnionych do głosowania,w tym obywatele polscy,w tym obywatele innych państw UE,Otrzymane karty do głosowania,Niewykorzystane karty do głosowania,Wydane karty do głosowania,w tym obywatelom polskim,w tym obywatelom innych państw UE,Liczba osób głosujących przez pełnomocnika,Liczba osób głosujących na podstawie zaświadczenia,Liczba wysłanych pakietów wyborczyh,Liczba otrzymanych kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert na karty do głosowania wrzuconych do urn,Kart wyjęte z urn,w tym: karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
12,201,bolesławiecki,64,71346,71344,2,50565,36428,14137,14137,0,1,64,0,0,0,0,0,0,0,14134,0,0,14134,540,13594,669,208,1791,3819,853,264,1045,4393,552,,,
12,202,dzierżoniowski,81,85536,85536,0,60513,42948,17564,17564,0,1,48,1,1,0,0,0,0,1,17564,1,0,17564,578,16986,776,225,2133,5178,460,394,1134,5817,869,,,
12,203,głogowski,55,71426,71426,0,51041,34973,16068,16068,0,2,62,0,0,0,0,0,0,0,16064,0,0,16064,555,15509,553,185,2260,5448,428,328,1142,4730,435,,,
12,204,górowski,26,28813,28813,0,20416,16270,4146,4146,0,1,22,0,0,0,0,0,0,0,4146,0,0,4146,171,3975,194,46,363,1079,93,59,259,1040,842,,,
12,205,jaworski,39,42300,42300,0,30073,22724,7348,7348,0,1,40,0,0,0,0,0,0,0,7349,0,0,7349,283,7066,374,111,911,2034,200,149,410,2043,834,,,
12,206,jeleniogórski,53,52485,52483,2,37392,26619,10773,10772,1,3,217,0,0,0,0,0,0,0,10770,0,0,10770,461,10309,457,128,1467,2425,398,239,669,4058,468,,,
12,207,kamiennogórski,34,36764,36762,2,25982,18850,7132,7131,1,8,37,0,0,0,0,0,0,0,7131,0,0,7131,300,6831,292,102,914,2163,235,148,362,2405,210,,,
12,208,kłodzki,146,135120,135114,6,96257,70300,25957,25955,2,12,474,0,0,0,0,0,0,0,25955,0,0,25955,1005,24950,1189,340,3345,6855,771,579,1554,9008,1309,,,
12,209,legnicki,46,43265,43265,0,30859,22931,7928,7928,0,3,39,0,0,0,0,0,0,0,7925,0,0,7925,314,7611,404,127,774,2343,224,175,510,2146,908,,,
12,210,lubański,46,46048,46047,1,32874,24359,8515,8514,1,0,93,0,0,0,0,0,0,0,8515,0,0,8515,359,8156,583,122,1453,2049,275,153,507,2646,368,,,
12,211,lubiński,74,85286,85283,3,60461,40760,19701,19699,2,5,51,0,0,0,0,0,0,0,19697,0,0,19697,592,19105,608,328,2133,7529,600,369,1250,5555,733,,,
12,212,lwówecki,38,38296,38290,6,27264,20843,6421,6419,2,2,36,0,0,0,0,0,0,0,6421,0,0,6421,305,6116,354,109,854,1679,253,115,428,1946,378,,,
12,213,milicki,30,29761,29761,0,21225,15913,5312,5312,0,0,28,0,0,0,0,0,0,0,5310,0,0,5310,200,5110,485,49,550,1592,130,116,307,1557,324,,,
12,214,oleśnicki,65,84919,84917,2,60320,44111,16209,16207,2,6,64,0,0,0,0,0,0,0,16208,0,1,16207,579,15628,1568,174,2007,3822,403,332,1155,5573,594,,,
12,215,oławski,50,59806,59805,1,42141,28710,13431,13430,1,5,40,1,1,0,0,0,0,1,13430,1,0,13430,424,13006,621,182,1428,4115,277,309,962,4732,380,,,
12,216,polkowicki,45,49233,49232,1,34645,24819,9824,9823,1,4,53,0,0,0,0,0,0,0,9826,0,0,9826,438,9388,414,125,945,4060,252,177,647,2260,508,,,
12,217,strzeliński,35,36656,36655,1,25975,19054,6921,6920,1,2,25,0,0,0,0,0,0,0,6921,0,0,6921,270,6651,312,79,689,2128,180,145,389,1811,918,,,
12,218,średzki,30,41482,41479,3,29038,21740,7298,7298,0,1,30,0,0,0,0,0,0,0,7296,0,0,7296,238,7058,337,104,770,1932,211,173,592,2434,505,,,
12,219,świdnicki,113,129954,129939,15,91968,65159,26809,26804,5,3,113,1,1,0,0,0,0,1,26805,1,0,26805,912,25893,1154,308,3055,7372,811,498,1844,10087,764,,,
12,220,trzebnicki,55,65533,65529,4,46279,33034,13245,13244,1,4,74,0,0,0,0,0,0,0,13239,0,1,13238,481,12757,620,155,1320,3647,300,315,880,4913,607,,,
12,221,wałbrzyski,49,46704,46703,1,32802,24449,8353,8353,0,2,81,0,0,0,0,0,0,0,8352,0,0,8352,295,8057,329,99,1366,1916,308,156,446,3141,296,,,
12,222,wołowski,34,39854,39854,0,28554,20763,7791,7791,0,1,25,0,0,0,0,0,0,0,7789,0,0,7789,301,7488,435,106,845,2144,220,133,517,2814,274,,,
