TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
020100,bolesławiecki,53441,69763,69760,3,25682,27757,27755,2,20,120,7,6,0,0,0,0,6,27764,6,1,27763,270,160,110,0,27493,10701,347,,,12050,,1673,1578,1144,
020200,dzierżoniowski,62237,81007,81006,1,29045,33205,33205,0,36,99,4,4,1,0,0,0,3,33208,3,0,33208,295,161,134,0,32913,12884,417,,,14603,,2170,1642,1197,
020300,głogowski,53009,69155,69155,0,22259,30749,30749,0,27,131,2,2,0,0,0,0,2,30750,2,5,30745,245,124,121,0,30500,12114,442,,,13470,,1884,1328,1262,
020400,górowski,21033,27730,27728,2,11748,9285,9284,1,11,95,0,0,0,0,0,0,0,9284,0,0,9284,118,59,59,0,9166,3093,124,,,4694,,531,370,354,
020500,jaworski,30915,40606,40605,1,14881,16034,16033,1,18,45,0,0,0,0,0,0,0,16034,0,0,16034,168,105,63,0,15866,5800,184,,,7538,,968,726,650,
020600,jeleniogórski,38379,50977,50961,16,16828,21551,21547,4,26,737,4,4,0,0,0,0,4,21553,4,2,21551,227,138,89,0,21324,10508,440,,,6935,,1717,1005,719,
020700,kamiennogórski,26950,35050,35049,1,13380,13570,13570,0,12,102,0,0,0,0,0,0,0,13570,0,0,13570,130,72,58,0,13440,5762,197,,,5566,,881,532,502,
020800,kłodzki,98596,130272,130233,39,46570,52026,52024,2,74,1646,5,4,0,0,0,0,4,52030,4,7,52023,454,280,174,0,51569,22010,670,,,21816,,2826,2433,1814,
020900,legnicki,32005,42842,42840,2,14665,17340,17339,1,14,52,0,0,0,0,0,0,0,17339,0,2,17337,180,97,83,0,17157,5854,209,,,8618,,959,817,700,
021000,lubański,33270,44037,44032,5,15914,17356,17352,4,16,339,0,0,0,0,0,0,0,17356,0,0,17356,165,90,75,0,17191,7392,226,,,7014,,1080,815,664,
021100,lubiński,63197,82373,82370,3,25825,37372,37369,3,28,97,1,1,0,0,0,0,1,37371,1,0,37371,273,173,100,0,37098,12769,428,,,18007,,2112,1912,1870,
021200,lwówecki,28118,36927,36919,8,14523,13595,13594,1,17,123,0,0,0,0,0,0,0,13594,0,0,13594,166,96,70,0,13428,5396,193,,,5794,,834,670,541,
021300,milicki,22178,29315,29314,1,10939,11239,11239,0,10,108,0,0,0,0,0,0,0,11239,0,2,11237,106,66,40,0,11131,4022,126,,,5603,,551,478,351,
021400,oleśnicki,63985,84047,84045,2,29763,34221,34220,1,17,213,0,0,0,0,0,0,0,34221,0,1,34220,331,220,111,0,33889,13985,470,,,14216,,2186,1704,1328,
021500,oławski,44715,59351,59347,4,17215,27501,27499,2,17,107,1,1,0,0,0,0,1,27498,1,0,27498,195,116,79,0,27303,10757,313,,,11856,,1677,1521,1179,
021600,polkowicki,36892,48216,48216,0,17508,19384,19384,0,21,77,0,0,0,0,0,0,0,19383,0,2,19381,219,132,87,0,19162,5470,285,,,10506,,1040,996,865,
021700,strzeliński,27335,35728,35722,6,12671,14655,14654,1,14,50,0,0,0,0,0,0,0,14655,0,0,14655,144,95,49,0,14511,4958,172,,,7403,,685,686,607,
021800,średzki,32086,42500,42497,3,14833,17251,17250,1,7,83,0,0,0,0,0,0,0,17252,0,0,17252,141,83,58,0,17111,6439,193,,,7878,,1027,850,724,
