TERYT,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
201,bolesławiecki,59,66974,39204,39180,424,38756,185,55,1198,420,5053,23752,1293,403,5946,25,359,67
202,dzierżoniowski,73,86685,51616,51592,511,51081,261,115,1342,603,6532,32806,1288,277,7308,41,413,95
203,głogowski,52,68592,44483,44465,376,44089,193,73,1142,604,5399,29006,1169,172,5925,33,308,65
204,górowski,25,27363,15867,15866,150,15716,70,31,985,148,1600,10312,833,78,1520,17,99,23
205,jaworski,38,40803,23785,23781,242,23539,142,56,1138,285,3102,14414,904,109,3187,17,154,31
206,jeleniogórski,53,50929,29343,29336,359,28977,129,58,642,394,3128,18479,572,138,5151,27,218,41
207,kamiennogórski,34,37180,21698,21693,237,21456,87,39,495,182,2799,14326,512,109,2678,18,185,26
208,kłodzki,123,138956,80955,80930,792,80138,435,170,2560,995,10635,49833,1923,379,12294,69,708,137
209,legnicki,41,39707,22387,22384,194,22190,104,47,1382,180,2681,13953,948,123,2549,12,164,47
210,lubański,43,46077,26699,26693,261,26432,185,46,773,247,2974,17443,743,136,3549,21,254,61
211,lubiński,73,83600,51452,51445,413,51032,211,107,1071,635,6684,32685,1089,177,7919,41,364,49
212,lwówecki,40,37753,20833,20820,258,20562,117,49,670,202,2608,13102,628,159,2806,17,157,47
213,milicki,26,27422,16739,16736,194,16542,69,28,882,136,1995,10685,701,103,1768,11,140,24
214,oleśnicki,55,77238,45652,45638,405,45233,226,73,1746,606,5773,29027,1128,262,5924,15,329,124
215,oławski,40,53804,32797,32789,301,32488,135,64,1215,401,5419,17299,1012,242,6317,20,310,54
216,polkowicki,38,44965,27482,27474,246,27228,113,47,752,294,3380,18354,885,95,3085,19,179,25
217,strzeliński,34,35165,20528,20523,197,20326,68,32,1594,140,3092,11854,969,138,2226,8,170,35
218,średzki,32,36410,20179,20168,246,19922,97,29,1048,253,2644,12523,693,209,2291,13,87,35
219,świdnicki,104,127268,77308,77268,652,76616,444,172,2009,1176,10637,46987,1917,454,12019,58,609,134
220,trzebnicki,38,55869,31376,31355,323,31032,138,45,1296,389,4264,18038,1359,172,5021,29,241,40
221,wałbrzyski,45,47838,28352,28348,260,28088,118,58,731,308,3041,19529,576,100,3336,19,221,51
222,wołowski,31,37354,22449,22441,240,22201,113,41,894,234,2875,13535,788,112,3378,26,161,44
223,wrocławski,62,68055,39302,39287,436,38851,183,59,2270,458,6242,20546,1754,241,6666,19,353,60
224,ząbkowicki,66,55062,32994,32977,365,32612,169,52,1522,312,4072,20548,1254,141,4212,24,259,47
225,zgorzelecki,70,75044,44934,44918,454,44464,242,93,861,490,5086,29246,867,152,6937,35,388,67
226,złotoryjski,38,35361,20540,20534,225,20309,80,30,919,214,2471,13010,725,97,2563,15,150,35
261,Jelenia Góra,45,71598,43667,43632,403,43229,220,95,648,656,5014,26688,604,189,8640,36,384,55
262,Legnica,51,82263,50794,50763,415,50348,298,102,877,721,7575,31302,803,379,7767,38,388,98
263,Wałbrzych,71,106381,63683,63611,519,63092,309,168,740,727,6494,44923,913,202,8066,63,397,90
264,Wrocław,293,496580,321408,321117,2510,318607,1765,750,4162,6957,60090,150343,3846,2908,83259,360,3594,573
401,aleksandrowski,36,43430,26259,26267,321,25946,108,67,2036,206,2857,16128,1001,115,3124,24,240,40
402,brodnicki,52,55092,31705,31695,338,31357,113,39,2722,202,3591,19246,1596,155,3354,19,256,64
403,bydgoski,65,62264,38233,38221,447,37774,176,51,1504,451,3682,25184,1605,253,4485,26,282,75
404,chełmiński,41,38444,22520,22515,220,22295,76,48,1614,180,2148,14665,1002,233,2122,14,141,52
