OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
2,20100,bolesławiecki,54,70054,68066,37126,30940,30938,30705,233,422,3699,35,63,8817,373,414,4568,25,18,12214,57
4,20200,dzierżoniowski,72,88429,85299,45284,40015,40005,39731,274,498,4399,45,124,11364,379,566,6624,28,21,15592,91
3,20300,głogowski,54,71624,70513,35520,34993,34982,34729,253,499,4833,59,93,11048,343,535,4931,21,11,12310,46
3,20400,górowski,27,28521,27672,15797,11875,11864,11771,93,135,1124,16,24,2940,263,129,3557,3,6,3553,21
3,20500,jaworski,38,42594,40670,22082,18588,18586,18463,123,244,1784,30,56,5223,332,218,4029,17,8,6483,39
2,20600,jeleniogórski,55,52833,51269,27418,23851,23849,23673,176,329,2540,41,74,5535,287,387,2949,28,15,11430,58
2,20700,kamiennogórski,35,37948,36904,20140,16763,16761,16608,153,198,1817,20,50,4514,198,185,2828,9,7,6738,44
4,20800,kłodzki,124,140770,134422,71776,62647,62639,62175,464,660,6402,59,167,17810,969,806,9242,54,34,25860,112
3,20900,legnicki,41,41890,40561,22356,18205,18205,18075,130,215,1664,22,58,4876,413,174,4658,16,9,5938,32
2,21000,lubański,44,47152,44950,24052,20898,20897,20722,175,251,2431,23,71,5699,239,224,3684,15,15,8010,60
3,21100,lubiński,73,85833,82340,41245,41093,41089,40848,241,549,5532,56,94,14164,342,649,4888,25,16,14488,45
2,21200,lwówecki,39,38775,37807,22096,15712,15710,15584,126,200,1433,23,51,4255,299,220,3211,15,14,5823,40
1,21300,milicki,29,28956,28143,14811,13332,13324,13201,123,171,1426,14,36,3417,320,163,3399,14,5,4217,19
1,21400,oleśnicki,58,81091,78625,41485,37140,37137,36917,220,467,4223,52,107,10354,562,504,6297,20,43,14225,63
1,21500,oławski,42,56832,54574,26293,28280,28275,28107,168,302,2451,27,69,10028,346,370,3508,17,12,10934,43
3,21600,polkowicki,41,47246,45704,24176,21539,21534,21401,133,249,2523,22,47,6963,317,317,4156,7,10,6746,44
1,21700,strzeliński,34,36372,35330,18808,16522,16521,16417,104,161,1448,15,37,5051,335,142,3808,6,7,5392,15
1,21800,średzki,27,38706,37434,21567,15867,15865,15727,138,169,1446,15,20,4579,546,214,2869,239,11,5328,291
4,21900,świdnicki,100,130943,126734,66583,60150,60143,59715,428,777,7080,64,158,18153,553,939,8396,42,25,23420,108
1,22000,trzebnicki,42,60376,58100,31155,26945,26940,26754,186,293,2158,17,46,7936,444,398,5136,20,11,10257,38
4,22100,wałbrzyski,116,153707,147612,79782,67830,67809,67330,479,990,11189,70,140,17268,482,892,7724,32,41,28401,101
1,22200,wołowski,35,39553,38531,20583,17948,17946,17796,150,200,1696,18,31,5183,206,255,3081,10,15,7063,38
1,22300,wrocławski,63,77365,73276,35823,37453,37446,37179,267,441,2614,35,71,12466,584,583,5803,16,22,14501,43
4,22400,ząbkowicki,67,56237,54153,29404,24749,24746,24557,189,272,2433,23,84,6815,521,294,5677,22,14,8365,37
2,22500,zgorzelecki,69,77188,75569,40661,34908,34896,34635,261,419,4067,71,95,9560,274,556,4328,22,27,15162,54
3,22600,złotoryjski,38,36939,36495,20325,16170,16170,16010,160,206,1814,19,55,4225,275,212,3612,9,7,5553,23
2,26101,m. Jelenia Góra,46,71574,72767,36381,36386,36355,36123,232,583,5077,42,82,9054,511,672,2725,100,16,17217,44
3,26201,m. Legnica,49,83456,81182,40241,40941,40930,40726,204,621,5674,34,78,12648,265,603,4483,32,17,16207,64
1,26401,m. Wrocław,304,511401,490580,198889,291685,291513,289998,1515,4484,33253,296,371,91995,1390,5947,12568,149,109,139196,240
7,40100,aleksandrowski,40,44962,42338,21417,20921,20910,20751,159,237,2535,33,43,5441,544,177,5913,17,17,5761,33
6,40200,brodnicki,53,58129,55674,28965,26709,26705,26524,181,268,2438,46,66,7359,742,179,8434,18,15,6911,48
5,40300,bydgoski,65,71381,68647,36022,32625,32621,32405,216,606,4313,29,97,9118,488,411,6122,23,28,11115,55
6,40400,chełmiński,42,40078,38479,21490,16989,16987,16887,100,189,2212,15,43,4273,397,139,4719,16,11,4831,42
6,40500,golubsko-dobrzyński,28,34393,32667,18001,14666,14666,14583,83,136,1253,17,46,3873,441,105,5195,9,11,3466,31
6,40600,grudziądzki,33,29724,28433,16241,12192,12191,12103,88,139,1005,16,28,2456,368,71,5184,11,4,2789,32
5,40700,inowrocławski,118,132362,127609,67843,59748,59735,59300,435,894,10210,68,133,13856,1199,642,14238,44,37,17853,126
7,40800,lipnowski,49,51315,49955,29546,20409,20408,20220,188,150,1715,21,55,5393,730,147,7466,12,10,4491,30
