Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,JUREK Marek,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria,KORWIN-MIKKE Janusz Ryszard,LEPPER Andrzej Zbigniew,MORAWIECKI Kornel Andrzej,NAPIERALSKI Grzegorz Bernard,OLECHOWSKI Andrzej Marian,PAWLAK Waldemar,ZIĘTEK Bogusław Zbigniew
dolnośląskie,20100,bolesławiecki,54,71302,35895,35884,35633,290,10453,16855,868,503,70,5649,481,420,44
dolnośląskie,20200,dzierżoniowski,72,87348,43274,43264,42926,337,13181,20328,1021,545,70,6250,667,429,98
dolnośląskie,20300,głogowski,54,71551,39656,39648,39355,298,14449,14823,868,501,54,7370,598,317,77
dolnośląskie,20400,górowski,27,28860,12648,12643,12561,84,4010,5241,260,313,17,2202,166,244,24
dolnośląskie,20500,jaworski,38,42549,20662,20660,20489,158,6966,8471,392,386,48,3440,238,356,34
dolnośląskie,20600,jeleniogórski,53,53748,27684,27678,27457,216,6572,14914,644,293,49,3999,406,299,65
dolnośląskie,20700,kamiennogórski,36,37237,18644,18641,18460,170,5054,9131,302,271,21,3049,232,206,24
dolnośląskie,20800,kłodzki,126,139213,68311,68304,67881,555,19937,33506,1450,929,112,9267,901,1080,144
dolnośląskie,20900,legnicki,45,42931,21150,21140,20997,186,7210,8530,411,512,39,3405,262,395,47
dolnośląskie,21000,lubański,44,47110,23253,23248,23085,146,6616,10951,440,413,36,3846,291,300,46
dolnośląskie,21100,lubiński,73,85734,46257,46243,46037,248,18952,16128,1096,463,91,7884,711,398,66
dolnośląskie,21200,lwówecki,38,38636,17914,17913,17764,139,5212,8329,428,329,27,2715,241,311,33
dolnośląskie,21300,milicki,28,29466,13866,13865,13776,160,4632,5561,251,377,26,2261,169,326,13
dolnośląskie,21400,oleśnicki,60,83441,42545,42538,42186,280,12596,19637,1084,622,90,6623,615,575,64
dolnośląskie,21500,oławski,45,58922,32548,32547,32310,280,11485,13925,805,435,54,4368,547,354,57
dolnośląskie,21600,polkowicki,43,48407,24928,24926,24765,219,10538,7898,494,392,36,4559,285,307,37
dolnośląskie,21700,strzeliński,34,36771,18211,18210,18055,148,6570,7542,339,404,44,2352,227,373,56
dolnośląskie,21800,średzki,28,40228,18959,18956,18813,127,6342,8356,436,333,47,2585,223,343,21
dolnośląskie,21900,świdnicki,99,130998,68045,68030,67541,591,20888,31068,1814,808,123,10469,1002,629,149
dolnośląskie,22000,trzebnicki,44,63167,31968,31958,31724,242,10587,14745,723,506,67,3926,458,431,39
dolnośląskie,22100,wałbrzyski,117,147094,72295,72268,71674,494,17190,37426,1597,749,113,12308,1100,555,142
dolnośląskie,22200,wołowski,34,39836,20291,20290,20128,184,6547,9446,469,309,37,2584,271,247,34
dolnośląskie,22300,wrocławski,67,87334,48278,48269,47929,473,16367,21925,1369,654,112,5461,814,706,48
dolnośląskie,22400,ząbkowicki,66,56189,26958,26951,26737,185,8682,12048,530,578,55,3815,296,493,55
dolnośląskie,22500,zgorzelecki,70,76239,38630,38623,38303,265,11754,17646,879,429,53,6270,589,358,60
dolnośląskie,22600,złotoryjski,38,36809,17927,17926,17816,98,5799,7847,388,349,36,2813,211,261,14
dolnośląskie,26101,Jelenia Góra,46,69146,39513,39495,39234,238,10104,20804,1019,247,43,5770,661,293,55
dolnośląskie,26201,Legnica,49,81567,44954,44925,44706,334,14111,20276,1174,310,100,7372,683,286,60
dolnośląskie,26401,Wrocław,298,508576,318603,318435,316487,2875,91559,165308,11263,1388,1209,34101,6566,1721,497
kujawsko-pomorskie,40100,aleksandrowski,43,46335,24076,24074,23845,106,7901,9647,421,579,43,4302,259,541,46
kujawsko-pomorskie,40200,brodnicki,53,59960,29500,29500,29225,199,10304,11235,417,764,35,4679,289,1267,36
kujawsko-pomorskie,40300,bydgoski,70,80045,42982,42979,42709,295,10538,21207,1086,736,71,7252,720,734,70
kujawsko-pomorskie,40400,chełmiński,41,40470,18598,18598,18417,133,5033,8312,437,433,31,3289,234,472,43
kujawsko-pomorskie,40500,golubsko-dobrzyński,28,35308,16512,16510,16401,122,5965,5908,245,595,24,2815,125,581,21
kujawsko-pomorskie,40600,grudziądzki,33,30832,13641,13640,13507,110,4009,5581,194,498,16,2377,154,535,33
kujawsko-pomorskie,40700,inowrocławski,118,133169,68548,68540,68046,390,17606,30979,1172,1161,100,14259,832,1402,145
kujawsko-pomorskie,40800,lipnowski,53,52200,22175,22177,21954,112,8428,7629,316,674,32,3665,212,840,46
kujawsko-pomorskie,40900,mogileński,35,37285,18222,18219,18089,100,4988,7564,329,453,28,3648,171,729,79
kujawsko-pomorskie,41000,nakielski,63,68061,34598,34596,34357,240,8751,16291,705,835,60,6106,432,883,54
kujawsko-pomorskie,41100,radziejowski,42,34593,15892,15891,15737,62,5790,4707,225,721,10,3309,132,741,40
kujawsko-pomorskie,41200,rypiński,34,35566,16273,16272,16163,79,6483,5443,251,339,23,2806,153,564,22
kujawsko-pomorskie,41300,sępoleński,30,32629,15837,15836,15745,121,4157,7172,251,542,25,2811,201,431,34
kujawsko-pomorskie,41400,świecki,70,77766,37763,37757,37502,228,9697,18071,633,935,50,6490,485,841,72
kujawsko-pomorskie,41500,toruński,57,72705,35324,35321,35055,241,11390,15089,727,703,46,5472,424,909,54
kujawsko-pomorskie,41600,tucholski,38,37530,20047,20045,19894,157,6106,8419,346,643,31,3351,257,538,46
kujawsko-pomorskie,41700,wąbrzeski,22,27695,12428,12427,12327,91,3122,5709,244,461,17,2103,138,422,20
kujawsko-pomorskie,41800,włocławski,74,69371,30571,30567,30253,138,10968,9977,464,1087,37,5993,277,1249,63
kujawsko-pomorskie,41900,żniński,56,55913,28229,28224,28027,190,7723,11985,423,810,37,5603,344,849,63
kujawsko-pomorskie,46101,Bydgoszcz,205,288036,174683,174628,173521,1379,47231,86895,4317,952,198,28408,2792,1063,286
kujawsko-pomorskie,46201,Grudziądz,54,79024,41102,41092,40798,276,9652,21596,850,451,55,6944,583,293,98
kujawsko-pomorskie,46301,Toruń,122,161212,96749,96725,96220,946,27928,48899,2582,545,111,12844,1571,656,138
kujawsko-pomorskie,46401,Włocławek,61,95043,52188,52137,51782,222,13206,25533,1017,452,54,10205,689,328,76
lubelskie,60100,bialski,108,90290,44940,44935,44589,501,21722,11726,828,1221,68,5607,461,2386,69
lubelskie,60200,biłgorajski,93,83425,42839,42832,42562,645,23608,9031,859,1244,58,4641,458,1941,77
lubelskie,60300,chełmski,90,64413,26391,26388,26146,247,11522,7170,490,1096,36,3960,278,1284,63
lubelskie,60400,hrubieszowski,66,57011,25749,25748,25562,191,12103,6387,426,1115,40,3851,243,1161,45
lubelskie,60500,janowski,38,38548,22472,22468,22358,204,15799,2583,318,445,19,1641,146,1176,27
lubelskie,60600,krasnostawski,85,56837,26011,26006,25816,201,11882,6614,554,1007,35,3984,257,1219,63
lubelskie,60700,kraśnicki,84,80849,42109,42105,41810,383,23596,8264,794,931,47,5676,358,1687,74
lubelskie,60800,lubartowski,86,72649,36800,36788,36542,558,18139,9178,923,872,58,4528,395,1794,97
lubelskie,60900,lubelski,119,113453,58552,58547,58087,797,31049,12892,1342,1630,77,6419,718,3058,105
lubelskie,61000,łęczyński,47,45433,21568,21563,21454,242,10815,5251,585,512,32,3020,295,630,72
lubelskie,61100,łukowski,87,85839,44761,44753,44423,572,25667,8814,704,968,47,5358,436,1762,95
lubelskie,61200,opolski,60,51615,24031,24020,23820,193,12539,4688,421,805,28,3789,236,1078,43
lubelskie,61300,parczewski,36,30094,14576,14573,14458,149,6701,3945,278,423,11,2075,141,695,40
lubelskie,61400,puławski,88,96067,52043,52037,51633,614,24332,15736,1367,870,75,6446,763,1324,106
lubelskie,61500,radzyński,51,49504,25145,25140,24991,281,13718,5189,442,663,33,2953,240,1410,62
lubelskie,61600,rycki,62,48187,26303,26299,26088,200,12707,6460,530,667,32,4150,286,996,60
lubelskie,61700,świdnicki,53,59203,31131,31119,30935,390,14956,8978,885,526,50,3946,455,680,69
lubelskie,61800,tomaszowski,92,72743,34177,34177,33933,237,17350,7858,722,1123,45,4531,320,1670,77
lubelskie,61900,włodawski,43,33451,16109,16107,15987,178,6369,5237,334,615,35,2361,177,632,49
lubelskie,62000,zamojski,110,89104,42365,42354,42091,337,24612,8179,686,1222,61,4497,379,2046,72
lubelskie,66101,Biała Podlaska,29,45725,26096,26076,25935,359,10493,9188,756,242,25,3975,415,418,64
lubelskie,66201,Chełm,36,55623,29004,29002,28847,249,10676,11340,729,270,26,4809,356,341,51
lubelskie,66301,Lublin,211,279104,172570,172505,171582,2649,70192,66613,6203,940,233,19608,3130,1763,251
lubelskie,66401,Zamość,32,54080,29400,29397,29215,310,12572,9966,815,308,30,4327,438,385,64
lubuskie,80100,gorzowski,52,52460,25192,25189,24994,216,6472,12157,547,466,29,4377,308,386,36
lubuskie,80200,krośnieński,48,45302,21115,21113,20939,144,4698,11005,380,328,32,3823,255,248,26
lubuskie,80300,międzyrzecki,48,48016,23792,23785,23637,182,5455,12050,464,444,41,4253,273,432,43
lubuskie,80400,nowosolski,49,69517,34216,34202,33971,310,9992,16396,626,464,25,5255,391,454,58
lubuskie,80500,słubicki,29,36879,17852,17846,17707,113,4284,9207,347,264,21,2992,207,237,35
lubuskie,80600,strzelecko-drezdenecki,36,40395,18525,18519,18398,135,4377,9450,327,428,27,3055,195,366,38
lubuskie,80700,sulęciński,34,28868,13571,13570,13467,132,3709,6501,248,327,28,2125,117,249,31
lubuskie,80800,świebodziński,34,44725,22233,22227,22067,212,5645,11413,514,296,30,3300,321,303,33
lubuskie,80900,zielonogórski,59,72916,37239,37230,36979,337,8102,20090,876,533,44,5939,523,483,52
lubuskie,81000,żagański,54,65696,30824,30809,30575,212,8195,14588,633,512,61,5473,377,449,75
lubuskie,81100,żarski,62,79155,37795,37784,37467,308,9439,19105,834,526,37,6285,491,370,72
lubuskie,81200,wschowski,31,30782,15368,15368,15270,128,4870,6717,305,287,17,2407,252,269,18
lubuskie,86101,Gorzów Wielkopolski,68,99462,54937,54914,54561,646,14467,27534,1446,413,64,8835,733,339,84
lubuskie,86201,Zielona Góra,61,93140,56907,56858,56566,473,12938,31514,1495,251,55,8507,901,341,91
łódzkie,100100,bełchatowski,68,91367,52112,52102,51638,491,28180,11403,1392,726,56,7906,593,787,104
łódzkie,100200,kutnowski,77,84719,42494,42483,42163,252,17555,12878,724,1049,37,7242,409,1928,89
łódzkie,100300,łaski,39,41366,21289,21286,21123,154,9343,6034,535,428,16,3677,193,709,34
łódzkie,100400,łęczycki,48,44057,21665,21664,21489,135,9798,5838,294,906,19,3315,169,965,50
łódzkie,100500,łowicki,65,66818,34324,34318,34047,364,15658,9002,775,654,46,5003,350,2134,61
łódzkie,100600,łódzki wschodni,52,53681,31315,31304,31080,255,13328,10784,852,438,31,4203,472,659,58
łódzkie,100700,opoczyński,68,63411,35528,35522,35200,573,20375,6527,641,814,29,4732,298,1142,69
łódzkie,100800,pabianicki,67,97598,56949,56930,56571,331,19845,23281,1718,531,70,9043,874,764,114
łódzkie,100900,pajęczański,38,43035,21758,21756,21581,119,11525,4611,370,553,33,3613,216,497,44
łódzkie,101000,piotrkowski,68,72108,38204,38198,37846,376,22069,7129,549,1018,32,4927,313,1377,56
łódzkie,101100,poddębicki,47,34708,17363,17361,17219,79,7473,4346,254,717,24,3266,185,849,26
łódzkie,101200,radomszczański,85,95386,47521,47509,47106,315,21334,13114,937,865,62,8668,425,1290,96
łódzkie,101300,rawski,30,40338,20311,20308,20140,261,10626,4461,378,613,20,2732,162,855,32
łódzkie,101400,sieradzki,91,97926,50927,50919,50554,348,22691,13580,1012,1409,63,8773,558,2028,92
łódzkie,101500,skierniewicki,36,30531,16348,16347,16188,193,8890,2886,287,595,13,2293,161,836,34
łódzkie,101600,tomaszowski,84,97627,54970,54956,54541,560,25040,16503,988,794,69,8514,694,1293,86
łódzkie,101700,wieluński,79,63579,33059,33062,32816,242,13850,9840,696,713,38,5741,336,1294,66
łódzkie,101800,wieruszowski,36,33871,17370,17369,17244,133,6984,5008,341,477,72,3111,181,906,31
łódzkie,101900,zduńskowolski,43,54352,28929,28926,28763,212,11892,9889,707,345,42,4722,380,508,66
łódzkie,102000,zgierski,105,132168,73804,73781,73289,466,27040,29625,1772,864,95,11155,1075,1067,130
łódzkie,102100,brzeziński,28,24925,13212,13212,13122,139,6192,3573,285,317,12,1970,155,463,16
łódzkie,106101,Łódź,397,597276,360258,360024,357547,2124,101310,178964,11273,1913,460,52295,6616,2019,573
łódzkie,106201,Piotrków Trybunalski,41,63143,36759,36737,36470,396,14457,13435,975,314,39,5972,504,326,52
łódzkie,106301,Skierniewice,25,39157,23410,23402,23254,449,8037,9267,737,171,29,3891,382,246,45
małopolskie,120100,bocheński,72,79897,45702,45683,45440,800,25114,11931,1037,505,47,4320,575,1049,62
małopolskie,120200,brzeski,64,71373,38721,38713,38457,954,21624,9913,909,425,25,3332,410,819,46
małopolskie,120300,chrzanowski,81,104122,58823,58809,58410,573,19453,24410,1790,502,71,10099,833,533,146
małopolskie,120400,dąbrowski,51,47119,23002,23000,22853,313,14508,4120,364,418,24,2068,159,849,30
małopolskie,120500,gorlicki,91,86309,45633,45628,45332,631,23760,12731,946,708,51,5134,465,824,82
małopolskie,120600,krakowski,168,199347,110837,110795,110027,1162,48823,38630,3621,1072,104,12767,1703,2013,132
małopolskie,120700,limanowski,95,94278,54814,54809,54415,1082,36414,10168,840,524,46,3758,499,1030,54
małopolskie,120800,miechowski ,55,41300,18445,18442,18308,123,7928,4519,420,563,17,3494,192,1005,47
małopolskie,120900,myślenicki,76,92151,53202,53197,52787,974,28874,14736,1486,487,47,4593,720,811,59
małopolskie,121000,nowosądecki,164,155546,92779,92770,92141,1694,59995,19024,1674,879,71,6196,852,1681,75
małopolskie,121100,nowotarski,143,144575,76168,76156,75546,1060,42372,22749,1636,825,66,5026,821,904,87
małopolskie,121200,olkuski,81,93722,51773,51746,51316,438,20313,17299,1536,658,68,9573,643,689,99
małopolskie,121300,oświęcimski,99,124444,72589,72583,72104,772,27833,28700,1844,537,87,10373,978,791,189
małopolskie,121400,proszowicki,37,35119,15391,15388,15284,83,7376,3353,303,442,14,2349,108,1233,23
małopolskie,121500,Suski,57,65379,35872,35866,35589,387,19316,10577,762,384,38,3180,351,539,55
małopolskie,121600,tarnowski,132,151678,80008,79988,79532,1433,47574,17788,1455,1079,100,7029,794,2167,113
małopolskie,121700,tatrzański,51,55820,32089,32075,31884,349,16456,11478,639,209,25,1964,439,291,34
małopolskie,121800,wadowicki,103,123830,70157,70146,69620,923,31399,25094,1445,690,84,7944,883,1051,107
małopolskie,121900,wielicki,71,86198,47994,47980,47649,514,20508,18094,1615,361,58,4975,812,656,56
małopolskie,126101,Kraków,457,598591,381506,381350,379215,4713,122672,184539,17154,1088,453,37947,7831,2369,449
małopolskie,126201,Nowy Sącz,51,66929,41319,41312,41099,639,19287,14831,1251,186,42,3969,555,303,36
małopolskie,126301,Tarnów,71,94798,54254,54243,54009,802,20949,22405,1796,279,51,6364,894,393,76
mazowieckie,140100,białobrzeski,22,26784,13901,13901,13797,97,8161,2711,200,381,16,1538,120,564,9
mazowieckie,140200,ciechanowski,56,73603,37429,37419,37150,292,16995,10688,694,597,32,6008,453,1338,53
mazowieckie,140300,garwoliński,91,84561,48097,48094,47712,666,27496,10346,700,812,56,5458,512,1578,88
mazowieckie,140400,gostyniński,39,38239,18440,18436,18262,114,8457,4876,244,301,18,2473,153,1603,23
mazowieckie,140500,grodziski,46,65699,40550,40532,40279,547,14853,18024,1021,241,47,4398,632,474,42
mazowieckie,140600,grójecki,75,78828,43138,43129,42861,366,21174,10607,673,1156,37,6030,406,2356,56
mazowieckie,140700,kozienicki,55,51971,26234,26227,26039,206,14107,6039,552,502,35,3599,278,686,35
mazowieckie,140800,legionowski,52,80284,51179,51174,50852,461,18095,22823,1316,267,60,6353,855,548,74
mazowieckie,140900,lipski,41,30538,12673,12669,12575,176,5870,2597,218,438,13,2294,145,797,27
