TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Braun Grzegorz Michał,Duda Andrzej Sebastian,Jarubas Adam Sebastian,Komorowski Bronisław Maria,Korwin-Mikke Janusz Ryszard,Kowalski Marian Janusz,Kukiz Paweł Piotr,Ogórek Magdalena Agnieszka,Palikot Janusz Marian,Tanajno Paweł Jan,Wilk Jacek
201,bolesławiecki,dolnośląskie,64,71126,61136,29880,31256,10,144,11,11,0,0,0,0,11,31263,11,3,31260,259,31001,295,9449,296,11379,1131,151,6942,786,409,39,124
202,dzierżoniowski,dolnośląskie,81,84530,73040,35229,37809,28,161,10,10,2,0,0,0,8,37817,8,3,37814,314,37500,212,11763,313,14513,1116,197,7748,919,535,50,134
203,głogowski,dolnośląskie,55,70842,61254,26758,34494,7,140,11,10,0,0,0,0,10,34502,10,0,34502,235,34267,188,12079,274,11537,837,144,7635,954,421,49,149
204,górowski,dolnośląskie,26,28487,24796,13984,10812,5,50,7,7,0,0,0,0,7,10819,7,0,10819,91,10728,61,3660,251,3711,307,47,2251,254,132,10,44
205,jaworski,dolnośląskie,39,41953,36760,18648,18110,8,53,10,10,0,0,0,0,10,18122,10,0,18122,155,17967,146,6205,281,6115,502,62,3909,441,201,30,75
206,jeleniogórski,dolnośląskie,56,52408,45025,22103,22922,13,475,7,7,0,0,0,0,7,22928,7,0,22928,173,22755,124,5467,217,10333,635,85,4724,568,446,45,111
207,kamiennogórski,dolnośląskie,34,36469,31711,16031,15680,10,77,3,3,1,0,0,0,2,15680,2,0,15680,142,15538,75,4739,132,6328,313,77,3184,432,177,21,60
208,kłodzki,dolnośląskie,145,134514,115677,58155,57521,37,1297,25,25,1,0,0,0,24,57521,24,1,57520,422,57098,397,17133,742,22301,1675,253,12029,1461,832,70,205
209,legnicki,dolnośląskie,46,43350,37503,18149,19355,8,57,9,7,0,0,0,0,7,19361,7,3,19358,153,19205,121,6711,259,6452,584,89,4241,447,214,26,61
210,lubański,dolnośląskie,46,45638,39489,19899,19590,5,211,8,8,0,0,0,0,8,19598,8,0,19598,150,19448,92,5657,177,7918,503,87,4079,617,232,23,63
211,lubiński,dolnośląskie,74,84488,72763,29003,43759,12,166,16,16,4,0,0,0,12,43764,12,1,43763,218,43545,252,16300,292,12082,1005,160,11691,1054,509,43,157
212,lwówecki,dolnośląskie,38,37935,33118,17934,15184,7,132,7,7,1,0,0,0,6,15188,6,0,15188,117,15071,106,4542,224,5632,413,57,3443,405,184,13,52
213,milicki,dolnośląskie,30,29590,25604,12835,12769,7,66,4,4,0,0,0,0,4,12771,4,0,12771,123,12648,72,4736,199,4566,270,56,2168,380,139,14,48
214,oleśnicki,dolnośląskie,64,84989,72645,34635,38010,14,151,11,8,1,0,0,0,7,38016,7,0,38016,364,37652,307,10995,375,15064,1250,153,7889,911,491,56,161
215,oławski,dolnośląskie,50,59684,51238,21378,29857,11,124,22,21,0,0,0,0,21,29865,21,1,29864,239,29625,253,9849,264,10058,885,128,7074,592,344,52,126
216,polkowicki,dolnośląskie,45,49132,42199,18227,23974,8,97,9,9,0,0,0,0,9,23980,9,2,23978,144,23834,125,10038,202,6201,685,141,5549,564,214,27,88
217,strzeliński,dolnośląskie,35,36463,31412,15320,16092,8,75,3,2,0,0,0,0,2,16093,2,0,16093,148,15945,77,5762,216,5328,386,78,3413,410,203,27,45
218,średzki,dolnośląskie,30,41780,35764,17444,18318,12,67,13,13,2,0,0,0,11,18330,11,2,18328,168,18160,169,5918,214,6326,587,60,4168,393,211,30,84
219,świdnicki,dolnośląskie,114,128679,110944,51628,59317,39,172,27,24,0,0,0,0,24,59332,24,3,59329,436,58893,402,17547,488,22797,2163,268,12623,1408,866,108,223
220,trzebnicki,dolnośląskie,55,65772,56588,26299,30289,5,187,21,20,0,0,0,0,20,30306,20,1,30305,243,30062,279,9894,334,11034,980,162,6120,639,436,50,134
221,wałbrzyski,dolnośląskie,50,46469,40143,20346,19797,7,271,11,9,0,0,0,0,9,19805,9,0,19805,185,19620,123,5150,206,8232,650,79,4220,500,365,21,74
222,wołowski,dolnośląskie,34,39739,33993,16435,17556,3,80,5,5,0,0,0,0,5,17562,5,0,17562,152,17410,121,5787,155,6570,452,81,3479,473,214,27,51
223,wrocławski,dolnośląskie,85,100374,85495,33367,52136,22,402,39,37,5,0,0,0,32,52167,32,1,52166,507,51659,432,15638,518,19010,1796,196,11801,929,875,138,326
224,ząbkowicki,dolnośląskie,74,54723,47581,24023,23558,19,113,19,19,0,0,0,1,18,23575,18,0,23575,171,23404,125,7732,337,8593,596,102,4986,536,285,34,78
225,zgorzelecki,dolnośląskie,86,74495,64423,31304,33119,9,175,13,13,0,0,0,0,13,33131,13,1,33130,328,32802,204,10420,262,11527,890,131,7884,886,440,47,111
226,złotoryjski,dolnośląskie,43,36372,31204,15492,15712,7,80,3,2,0,0,0,0,2,15714,2,0,15714,119,15595,94,5082,188,5481,449,49,3564,424,195,19,50
261,Jelenia Góra,dolnośląskie,46,66222,57261,25652,31605,14,377,12,12,0,0,0,0,12,31616,12,4,31612,223,31389,184,7943,213,13834,854,97,6467,930,663,49,155
262,Legnica,dolnośląskie,49,79152,68712,30893,37821,5,167,27,27,1,0,0,1,26,37842,26,4,37838,288,37550,270,11651,219,13442,1080,148,8935,995,624,44,142
264,Wrocław,dolnośląskie,306,500161,425280,149329,275933,76,4705,327,281,9,0,0,0,272,276164,272,28,276136,2686,273450,3391,71792,1539,110040,11000,1171,59593,6080,5942,1120,1782
265,Wałbrzych,dolnośląskie,72,92642,80570,40866,39705,9,126,3,3,0,0,0,0,3,39702,3,16,39686,371,39315,239,9711,286,17189,1190,142,8449,1200,714,63,132
401,aleksandrowski,kujawsko-pomorskie,55,45838,38937,18760,20177,11,930,8,8,0,0,0,0,8,20181,8,4,20177,184,19993,124,6717,359,7299,472,96,3984,589,240,32,81
402,brodnicki,kujawsko-pomorskie,60,60819,51747,25447,26300,9,190,6,6,1,0,0,0,5,26304,5,1,26303,255,26048,131,8910,530,9040,670,119,5635,642,243,31,97
403,bydgoski,kujawsko-pomorskie,99,86094,74044,34448,39596,16,221,11,11,0,0,0,0,11,39606,11,0,39606,311,39295,252,10086,400,15768,1479,170,9024,1155,663,77,221
404,chełmiński,kujawsko-pomorskie,48,40345,35277,18702,16576,4,42,12,12,0,0,0,0,12,16586,12,0,16586,133,16453,78,5145,262,6465,442,94,3212,487,178,18,72
405,golubsko-dobrzyński,kujawsko-pomorskie,32,35975,31254,16717,14537,8,47,9,9,2,0,0,0,7,14542,7,0,14542,112,14430,59,5344,306,4640,329,63,2983,479,160,17,50
406,grudziądzki,kujawsko-pomorskie,42,31343,27002,14843,12158,5,41,5,5,0,0,0,0,5,12164,5,0,12164,96,12068,57,3991,289,4555,391,84,2175,324,131,18,53
407,inowrocławski,kujawsko-pomorskie,145,131942,114511,56950,57562,15,447,19,17,0,0,0,0,17,57578,17,0,57578,510,57068,306,16713,798,21773,1662,254,12496,1870,893,74,229
408,lipnowski,kujawsko-pomorskie,68,52627,45726,25916,19810,15,93,6,6,0,0,0,0,6,19816,6,0,19816,174,19642,88,7470,756,6135,530,88,3672,617,197,28,61
409,mogileński,kujawsko-pomorskie,46,37286,32316,16739,15577,5,68,6,5,0,0,0,0,5,15581,5,0,15581,106,15475,71,4482,328,5948,491,87,3236,550,192,23,67
