TERYT,Powiat,Uprawnieni do głosowania,Wydane karty do głosowania,Karty wyjęte (głosy oddane),Głosy nieważne,Głosy ważne,Lech Aleksander Kaczyński,Donald Franciszek Tusk
20100,bolesławiecki,70084,31609,31600,290,31310,14543,16767
20200,dzierżoniowski,88368,40626,40609,382,40227,19729,20498
20300,głogowski,71536,35491,35485,365,35120,18530,16590
20400,górowski,28517,11526,11523,136,11387,6486,4901
20500,jaworski,42512,18343,18337,174,18163,9664,8499
20600,jeleniogórski,53114,24483,24477,245,24232,8971,15261
20700,kamiennogórski,37884,17108,17102,176,16926,7714,9212
20800,kłodzki,140538,63627,63615,667,62948,29333,33615
20900,legnicki,41821,17888,17886,148,17738,9672,8066
21000,lubański,47162,20899,20897,212,20685,9697,10988
21100,lubiński,85742,42242,42229,331,41898,22772,19126
21200,lwówecki,38697,15821,15812,184,15628,7351,8277
21300,milicki,28904,12990,12988,173,12815,6828,5987
21400,oleśnicki,81040,36910,36909,360,36549,17961,18588
21500,oławski,56848,29365,29361,214,29147,15804,13343
21600,polkowicki,47149,21819,21814,192,21622,12773,8849
21700,strzeliński,36399,16807,16807,134,16673,9410,7263
21800,średzki,38672,16245,16245,147,16098,8803,7295
21900,świdnicki,130874,62328,62317,627,61690,30491,31199
22000,trzebnicki,60420,27363,27361,242,27119,13853,13266
22100,wałbrzyski,153698,69312,69296,780,68516,28823,39693
22200,wołowski,39594,18530,18527,183,18344,9201,9143
22300,wrocławski,77407,38916,38908,311,38597,20792,17805
22400,ząbkowicki,56123,25047,25034,260,24774,12964,11810
22500,zgorzelecki,76940,35345,35336,352,34984,15454,19530
22600,złotoryjski,36990,16020,16019,168,15851,8046,7805
26101,m. Jelenia Góra,71398,37203,37194,399,36795,13986,22809
26201,m. Legnica,83525,41667,41656,353,41303,19344,21959
26401,m. Wrocław,514697,305613,305456,2713,302743,124894,177849
40100,aleksandrowski,44765,19502,19493,274,19219,11076,8143
40200,brodnicki,58215,25605,25604,269,25335,15837,9498
40300,bydgoski,71399,32479,32476,372,32104,16768,15336
40400,chełmiński,40217,16092,16091,216,15875,8717,7158
40500,golubsko-dobrzyński,34335,14106,14102,164,13938,9108,4830
40600,grudziądzki,29695,10970,10970,110,10860,6561,4299
40700,inowrocławski,132163,55899,55892,902,54990,27812,27178
40800,lipnowski,51124,19335,19332,279,19053,12662,6391
40900,mogileński,36569,15439,15439,243,15196,9360,5836
41000,nakielski,66371,29890,29886,303,29583,14949,14634
41100,radziejowski,34220,12297,12297,213,12084,8241,3843
41200,rypiński,34985,13622,13621,141,13480,8756,4724
41300,sępoleński,31720,13188,13184,169,13015,7338,5677
41400,świecki,76527,32397,32394,373,32021,16535,15486
41500,toruński,65970,28158,28157,241,27916,16926,10990
41600,tucholski,36067,16672,16670,228,16442,9621,6821
41700,wąbrzeski,27415,10834,10833,161,10672,5637,5035
41800,włocławski,67551,23871,23868,341,23527,15437,8090
41900,żniński,54833,23760,23753,450,23303,12947,10356
46101,m. Bydgoszcz,297177,166404,166362,2107,164255,77962,86293
46201,m. Grudziądz,80240,37039,37035,404,36631,15718,20913
46301,m. Toruń,164000,93042,93014,876,92138,42984,49154
46401,m. Włocławek,96872,47018,47007,614,46393,21837,24556
60100,bialski,88776,42399,42377,391,41986,30987,10999
60200,biłgorajski,81849,40924,40920,327,40593,32075,8518
60300,chełmski,58352,23456,23456,218,23238,17257,5981
60400,hrubieszowski,57709,24592,24591,225,24366,18123,6243
60500,janowski,38192,22364,22358,145,22213,19598,2615
