Województwo,TERYT,Powiat,L.obw.,Upr.,Frekw.,Gł. odd.,Gł. ważne,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria
dolnośląskie,020100,bolesławiecki,54,71006,34864,34857,34500,13546,20954
dolnośląskie,020200,dzierżoniowski,72,86899,42353,42345,41870,16706,25164
dolnośląskie,020300,głogowski,54,70533,37264,37255,36761,18253,18508
dolnośląskie,020400,górowski,27,28822,12489,12488,12367,5539,6828
dolnośląskie,020500,jaworski,38,42336,20232,20230,20022,9042,10980
dolnośląskie,020600,jeleniogórski,53,55518,29318,29308,29010,9060,19950
dolnośląskie,020700,kamiennogórski,36,37213,18539,18536,18268,6702,11566
dolnośląskie,020800,kłodzki,126,140876,69709,69692,68981,26226,42755
dolnośląskie,020900,legnicki,45,42696,20581,20579,20312,9313,10999
dolnośląskie,021000,lubański,44,46768,22656,22655,22390,8426,13964
dolnośląskie,021100,lubiński,73,84867,45113,45105,44628,24653,19975
dolnośląskie,021200,lwówecki,38,38535,17843,17843,17620,6830,10790
dolnośląskie,021300,milicki,28,29390,14061,14057,13888,6351,7537
dolnośląskie,021400,oleśnicki,60,82461,41404,41403,40921,16010,24911
dolnośląskie,021500,oławski,45,58361,32085,32079,31722,14281,17441
dolnośląskie,021600,polkowicki,43,47923,24155,24154,23902,13862,10040
dolnośląskie,021700,strzeliński,34,36661,18472,18472,18282,8617,9665
dolnośląskie,021800,średzki,28,40098,18999,18996,18796,8275,10521
dolnośląskie,021900,świdnicki,99,129757,66112,66107,65266,26426,38840
dolnośląskie,022000,trzebnicki,44,62856,31797,31779,31444,13648,17796
dolnośląskie,022100,wałbrzyski,117,145695,70719,70703,69740,22536,47204
dolnośląskie,022200,wołowski,34,39772,20190,20190,19958,8509,11449
dolnośląskie,022300,wrocławski,67,86972,47847,47837,47418,20573,26845
dolnośląskie,022400,ząbkowicki,66,56182,26811,26808,26482,11371,15111
dolnośląskie,022500,zgorzelecki,70,75667,37797,37793,37297,14999,22298
dolnośląskie,022600,złotoryjski,38,36706,17400,17398,17211,7348,9863
dolnośląskie,026101,Jelenia Góra,46,68974,38642,38647,38137,12499,25638
dolnośląskie,026201,Legnica,49,80863,43172,43159,42723,17257,25466
