TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
201,bolesławiecki,dolnośląskie,64,70988,61204,26521,34683,16,351,15,12,-,-,-,-,12,34692,12,-,34692,513,34179,16050,18129
202,dzierżoniowski,dolnośląskie,81,84242,73058,31376,41684,36,355,12,11,1,-,-,-,10,41692,10,1,41691,523,41168,18623,22545
203,głogowski,dolnośląskie,55,70562,61199,22738,38462,11,399,32,27,-,-,-,1,26,38483,26,1,38482,522,37960,20053,17907
204,górowski,dolnośląskie,26,28499,24703,12182,12521,4,110,5,4,-,-,-,-,4,12525,4,4,12521,190,12331,6167,6164
205,jaworski,dolnośląskie,39,41770,36678,16701,19975,10,159,12,10,-,-,-,-,10,19985,10,1,19984,289,19695,9789,9906
206,jeleniogórski,dolnośląskie,56,52940,45028,18760,26267,17,1275,13,10,-,-,-,-,10,26276,10,1,26275,389,25886,9344,16542
207,kamiennogórski,dolnośląskie,34,36372,31665,13971,17694,13,212,5,5,-,-,-,-,5,17698,5,-,17698,268,17430,7609,9821
208,kłodzki,dolnośląskie,145,135304,116173,50822,65351,52,2540,33,31,4,-,-,-,27,65369,27,-,65369,818,64551,28943,35608
209,legnicki,dolnośląskie,46,43191,37460,15844,21616,12,178,8,8,1,-,-,-,7,21621,7,1,21620,325,21295,10964,10331
210,lubański,dolnośląskie,46,45653,39463,17595,21868,5,514,10,9,-,-,-,-,9,21877,9,1,21876,329,21547,9244,12303
