Nr okr.,TERYT,Powiat,L. upr.,Frekw.,Gł. odd.,Ważne,1 - SLD-UP,2 - AWSP,3 - UW,4 - Samoobrona,"5 - ""PiS""",6 - PSL,7 - PO,8 - ARS,9 - PWN,10 - LPR,11 - MnN,13 - PUG,14 - PPS,15 - NMnGŚl
1,201,bolesławiecki,67938,28762,28748,27397,13378,895,1211,2820,2446,2249,2404,110,,1884,,,,
1,203,głogowski,69731,32207,32176,30757,16594,1523,1543,2990,1863,1325,2810,76,,2033,,,,
1,205,jaworski,41257,17742,17665,16973,8061,849,254,2262,1174,1807,1467,45,,1054,,,,
1,206,jeleniogórski,51182,21281,21275,20378,11054,930,705,1638,1595,1149,2269,82,,956,,,,
1,207,kamiennogórski,37466,15809,15725,15053,8647,744,572,1283,948,523,1507,59,,770,,,,
1,209,legnicki,40225,16867,16826,16024,7776,427,341,2413,668,2044,1218,98,,1039,,,,
1,210,lubański,46292,19978,19933,19098,11461,641,286,1924,1086,791,1645,145,,1119,,,,
1,211,lubiński,84284,37791,37724,36256,19204,1449,1158,3094,2313,1510,5504,93,,1931,,,,
1,212,lwówecki,38037,15553,15532,14753,8370,673,362,1418,1056,922,1154,64,,734,,,,
1,216,polkowicki,45592,19414,19363,18391,9679,721,466,2366,879,1087,1903,88,,1202,,,,
1,225,zgorzelecki,75750,31647,31604,30254,16760,1317,660,2629,2196,1576,3641,193,,1282,,,,
1,226,złotoryjski,35815,15153,15142,14438,7481,427,244,1704,721,1554,1336,73,,898,,,,
1,261,Jelenia Góra,72129,33568,33510,32584,17940,1065,1601,1928,3157,1174,3938,104,,1677,,,,
1,262,Legnica,82647,37152,37082,35999,19896,1713,1086,2451,2969,1360,3671,97,,2756,,,,
2,202,dzierżoniowski,87361,39027,38984,37091,20984,1492,864,3380,1494,1876,4319,171,,2511,,,,
2,208,kłodzki,139247,61090,60879,57727,28009,2417,2362,6875,3186,4365,5939,403,,4171,,,,
2,219,świdnicki,128509,57898,57395,54887,25785,2908,2040,6313,2538,2350,8930,239,,3784,,,,
2,221,wałbrzyski,47969,20365,20312,19240,10659,676,376,2092,770,1455,2078,94,,1040,,,,
2,224,ząbkowicki,55601,24792,24666,23465,11894,854,733,3528,884,1830,2109,106,,1527,,,,
2,263,Wałbrzych,106507,44892,44764,43423,26907,1649,1330,3535,2131,1045,4306,281,,2239,,,,
3,204,górowski,27560,11419,11414,10720,4817,458,239,2224,463,1033,966,65,,455,,,,
3,213,milicki,27990,13244,13205,12512,5607,557,284,1888,366,1486,1595,46,,683,,,,
3,214,oleśnicki,78216,32692,32498,31146,14489,1371,846,4161,1972,2004,3841,140,,2322,,,,
3,215,oławski,54578,24437,24416,23197,9038,1768,1013,2999,1622,1292,3364,91,,2010,,,,
3,217,strzeliński,35473,15563,15548,14788,6287,589,321,2680,536,1414,1577,57,,1327,,,,
3,218,średzki,36949,14594,14517,13762,6240,508,309,2129,659,1295,1466,60,,1096,,,,
3,220,trzebnicki,56875,22810,22709,21655,8301,1157,683,3529,1402,2071,2998,112,,1402,,,,
3,222,wołowski,38086,16792,16738,15917,7280,666,347,2191,684,1054,2725,77,,893,,,,
3,223,wrocławski,69908,29466,29312,28071,9264,1311,807,4887,1996,3323,3775,165,,2543,,,,
3,264,Wrocław,499220,252905,252097,247063,92651,13446,16104,13135,33274,4869,52351,1051,,20182,,,,
4,403,bydgoski,63932,26283,26160,24458,11715,1237,437,3576,1671,1668,2212,66,,1827,,49,,
4,407,inowrocławski,128223,59159,59041,56300,32020,3066,892,5724,2755,4829,3649,163,,3131,,71,,
4,409,mogileński,35646,17284,17255,16096,7955,558,330,2084,707,2741,791,70,,839,,21,,
4,410,nakielski,63336,28036,27962,26326,12505,1405,549,3048,1281,4134,1631,63,,1637,,73,,
