"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
1,20100,bolesławiecki,70154,24559,24551,1123,23428,389,181,1774,2137,585,4985,3308,5910,48,708,66,466,,,2562,,267,42,,,,
1,20300,głogowski,71771,27600,27582,1163,26419,128,189,1588,1834,965,7899,3720,5562,109,699,104,411,,,3090,,83,38,,,,
1,20500,jaworski,42639,15079,15040,621,14419,173,90,1091,189,443,4494,1735,2603,41,913,125,186,,,2244,,61,31,,,,
1,20600,jeleniogórski,52884,18358,18348,969,17379,231,148,1155,429,1124,3620,2467,5129,57,558,46,443,,,1856,,78,38,,,,
1,20700,kamiennogórski,37966,12644,12642,711,11931,132,107,829,862,301,3473,1830,2202,37,406,42,135,,,1514,,35,26,,,,
1,20900,legnicki,41918,14565,14536,618,13918,110,110,1119,338,277,2730,1663,2279,48,1641,45,154,,,3318,,51,35,,,,
1,21000,lubański,47287,16911,16910,793,16117,125,122,1529,486,460,3706,2640,3397,52,811,54,260,,,2313,,97,65,,,,
1,21100,lubiński,85891,33357,33317,1183,32134,141,216,1572,1811,896,8511,5411,8901,81,994,104,412,,,2905,,137,42,,,,
1,21200,lwówecki,38905,12566,12562,694,11868,114,78,1048,503,225,2480,2369,2279,37,865,23,160,,,1620,,32,35,,,,
1,21600,polkowicki,47272,16816,16786,749,16037,97,120,804,590,308,4614,2089,3772,53,695,46,222,,,2534,,60,33,,,,
1,22500,zgorzelecki,77193,27858,27840,1312,26528,163,191,1506,504,1050,6312,3917,8189,125,456,43,390,,,3366,,216,100,,,,
1,22600,złotoryjski,36947,12538,12536,690,11846,84,97,1020,423,279,2499,1985,2356,109,615,36,169,,,2062,,94,18,,,,
1,26101,m. Jelenia Góra,71416,29762,29710,981,28729,484,178,1579,783,1099,6730,4843,9030,46,580,43,821,,,2377,,80,56,,,,
1,26201,m. Legnica,83413,33491,33438,959,32479,197,275,2934,1078,1317,8093,5258,7529,71,968,114,465,,,4061,,80,39,,,,
2,20200,dzierżoniowski,88565,32109,32050,1125,30925,252,257,2900,568,837,6573,6003,7142,73,909,,492,93,,4718,,,108,,,,
