Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
1,20100,bolesławiecki,71083,34888,34879,34080,337,419,9306,15502,2176,566,,5774,,
1,20300,głogowski,71573,39237,39215,38419,354,422,11922,14988,1929,736,,8068,,
1,20500,jaworski,42572,19883,19883,19387,214,269,6749,7275,1701,380,,2799,,
1,20600,jeleniogórski,52926,26701,26694,26003,298,253,5746,13279,1595,279,,4553,,
1,20700,kamiennogórski,37722,18040,18031,17611,225,158,4704,8169,1082,233,,3040,,
1,20900,legnicki,42472,20356,20340,19758,250,238,5682,7661,3101,416,,2410,,
1,21000,lubański,46962,22505,22500,21985,238,230,5609,9077,2136,345,,4350,,
1,21100,lubiński,86045,47753,47707,46845,335,387,16826,17356,2595,544,,8802,,
1,21200,lwówecki,38736,17644,17641,17078,174,247,4342,7165,2302,279,,2569,,
1,21600,polkowicki,47810,23763,23756,23158,241,238,8698,7256,1658,709,,4358,,
1,22500,zgorzelecki,76840,38348,38324,37386,372,337,10308,17301,1684,466,,6918,,
1,22600,złotoryjski,36948,17121,17113,16699,188,255,4895,6859,1263,350,,2889,,
1,26101,m. Jelenia Góra,71606,41272,41217,40653,324,410,9345,21626,1704,354,,6890,,
1,26201,m. Legnica,82879,46210,46143,45497,371,673,13033,20306,1784,372,,8958,,
2,20200,dzierżoniowski,88031,43093,43068,42167,539,452,11665,19371,1972,714,,7454,,
2,20800,kłodzki,140022,66704,66649,64945,677,766,16600,29711,8447,1089,,7655,,
2,21900,świdnicki,131414,66544,66503,65117,866,735,18873,30784,3852,958,,9049,,
2,22100,wałbrzyski,151721,75187,75164,73625,1011,617,16504,35799,4233,854,,14607,,
2,22400,ząbkowicki,56504,26155,26144,25424,301,257,7501,10189,2559,703,,3914,,
3,20400,górowski,28651,12057,12049,11663,154,166,3092,4543,1915,434,,1359,,
3,21300,milicki,29087,14525,14519,13909,169,296,3550,5336,2337,360,,1861,,
3,21400,oleśnicki,82287,40616,40592,39845,419,399,11695,17839,3716,922,,4855,,
3,21500,oławski,57582,30827,30820,30161,296,371,9905,14008,2105,424,,3052,,
3,21700,strzeliński,36497,17141,17117,16766,244,193,5637,7552,1262,344,,1534,,
3,21800,średzki,39638,17889,17867,17471,215,244,5284,7918,1344,311,,2155,,
3,22000,trzebnicki,61856,29990,29921,29273,307,315,9262,13142,2930,556,,2761,,
3,22200,wołowski,39977,19665,19640,19217,229,268,5343,9656,1055,356,,2310,,
3,22300,wrocławski,82063,44320,44289,43353,350,565,13819,21203,3175,797,,3444,,
3,26401,m. Wrocław,513959,338226,337624,334475,2312,3832,90382,194683,7094,1708,,34464,,
4,40300,bydgoski,75447,38527,38515,37570,466,432,8867,17197,3382,789,,6437,,
4,40700,inowrocławski,132683,64621,64507,62786,1027,683,14486,25566,6506,1043,,13475,,
