Okręg,TERYT,Powiat,Liczba obwodów,Liczba uprawnionych do głosowania,Liczba wysłanych pakietów,Liczba kart wydanych,Liczba osób głosujących przez pełnomocnika,Liczba oddanych kart,Karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne,Głosy nieważne,Głosy ważne,Liczba zaświadczeń,Liczba kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert zwrotnych wrzuconych do urn,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
1,20100,bolesławiecki,55,71456,0,30238,15,30226,0,4,30222,1627,28595,235,0,0,0,0,0,0,,,12516,517,161,1679,,7125,3478,3119,
1,20300,głogowski,54,71451,1,35330,12,35316,1,61,35255,1858,33397,161,1,0,0,0,0,1,,,12281,726,226,1135,,10617,3522,4890,
1,20500,jaworski,39,42612,6,17624,7,17626,3,13,17613,947,16666,101,6,2,0,0,1,3,,,6288,231,108,1101,,5242,1719,1977,
1,20600,jeleniogórski,53,53265,2,23597,22,23596,2,9,23587,1265,22322,735,2,0,0,0,0,2,,,10155,303,140,1056,,4401,2777,3490,
1,20700,kamiennogórski,36,37033,0,16364,27,16353,0,2,16351,910,15441,78,0,0,0,0,0,0,,,6575,191,79,837,,3753,2072,1934,
1,20900,legnicki,45,43150,0,17483,10,17481,0,0,17481,1019,16462,102,0,0,0,0,0,0,,,6280,348,132,1332,,4595,1927,1848,
1,21000,lubański,44,46490,3,19743,12,19747,3,0,19747,1106,18641,266,3,0,0,0,0,3,,,7750,299,144,1271,,4464,2400,2313,
1,21100,lubiński,73,85728,1,43053,22,43043,1,4,43039,2202,40837,209,1,0,0,0,0,1,,,11973,922,213,2464,,13939,4355,6971,
1,21200,lwówecki,38,38577,0,14959,15,14956,0,43,14913,926,13987,133,0,0,0,0,0,0,,,5645,227,102,1284,,3621,1665,1443,
1,21600,polkowicki,43,48860,1,22006,15,22006,1,46,21960,1529,20431,129,1,0,0,0,0,1,,,6003,385,142,1494,,7311,2085,3011,
1,22500,zgorzelecki,70,76178,2,33080,29,33072,1,0,33072,1975,31097,239,2,0,0,1,0,1,,,13542,475,188,1422,,8783,3405,3282,
1,22600,złotoryjski,38,36819,0,14993,12,14993,0,57,14936,988,13948,77,0,0,0,0,0,0,,,5287,227,82,1079,,3633,1640,2000,
1,26101,Jelenia Góra,46,69032,0,34719,23,34705,0,6,34699,1172,33527,441,0,0,0,0,0,0,,,16246,526,229,947,,7164,4317,4098,
1,26201,Legnica,49,81338,0,40108,28,40100,0,37,40063,1246,38817,273,0,0,0,0,0,0,,,16142,972,204,884,,10629,4537,5449,
2,20200,dzierżoniowski,72,86783,1,37488,50,37483,0,36,37447,1918,35529,230,1,1,0,0,0,0,,,15576,1089,295,1301,,9184,5219,2865,
2,20800,kłodzki,131,137836,0,59100,52,59093,0,57,59036,3187,55849,1744,0,0,0,0,0,0,,,25600,787,356,5751,,13107,6020,4228,
2,21900,świdnicki,100,130822,2,58745,57,58737,2,45,58692,3230,55462,413,2,0,0,0,0,2,,,25072,1040,481,2728,,14490,7082,4569,
2,22100,wałbrzyski,117,145730,3,60924,40,60908,3,16,60892,3110,57782,462,3,0,0,0,0,3,,,27518,985,460,1695,,12136,8142,6846,
2,22400,ząbkowicki,67,56120,0,22274,37,22268,0,36,22232,1330,20902,154,0,0,0,0,0,0,,,8602,325,205,2357,,5354,2390,1669,
3,20400,górowski,27,28935,0,10171,1,10171,0,0,10171,749,9422,79,0,0,0,0,0,0,,98,3768,135,53,1162,,2490,1003,713,
3,21300,milicki,28,29591,0,12407,3,12398,0,56,12342,777,11565,116,0,0,0,0,0,0,,147,4771,179,72,950,,3202,1135,1109,
3,21400,oleśnicki,59,84033,3,37318,18,37314,2,77,37237,2120,35117,231,2,0,0,0,0,2,,653,16251,485,197,2657,,8860,3418,2596,
3,21500,oławski,45,59275,0,28744,22,28731,0,22,28709,1402,27307,178,0,0,0,0,0,0,,502,12880,425,132,1534,,7842,2486,1506,
3,21700,strzeliński,34,36739,0,15570,16,15569,0,3,15566,991,14575,140,0,0,0,0,0,0,,188,5827,178,95,1954,,4014,1265,1054,
3,21800,średzki,29,40760,0,17029,20,17024,0,1,17023,1046,15977,145,0,0,0,0,0,0,,339,7163,587,63,1423,,3864,1449,1089,
3,22000,trzebnicki,45,64333,3,28360,20,28359,3,3,28356,1459,26897,215,3,0,0,0,0,3,,420,13089,426,123,1909,,7194,2429,1307,
3,22200,wołowski,34,39939,0,17119,19,17114,0,42,17072,1011,16061,109,0,0,0,0,0,0,,254,7561,204,95,734,,4623,1539,1051,
3,22300,wrocławski,70,91866,2,46388,27,46382,2,8,46374,2052,44322,587,2,0,0,0,0,2,,1079,21261,731,187,4009,,11404,3813,1838,
3,26401,Wrocław,297,505199,24,302314,221,302098,21,206,301892,6628,295264,7095,24,2,0,0,0,21,,8005,158298,4746,1203,5614,,73818,29089,14491,
4,40300,bydgoski,70,81759,0,38783,21,38781,0,31,38750,2327,36423,239,0,0,0,0,0,0,,675,16210,809,230,3099,,7251,4862,3287,
4,40700,inowrocławski,123,133897,2,59127,44,59090,2,113,58977,3707,55270,242,2,0,0,0,0,2,,637,22760,817,361,4768,,11028,7535,7364,
4,40900,mogileński,35,37217,3,15242,12,15239,1,0,15239,1134,14105,101,3,2,0,0,0,1,,162,4789,241,206,2971,,2618,1598,1520,
4,41000,nakielski,64,68381,1,29802,24,29793,1,60,29733,2262,27471,160,1,0,0,0,0,1,,372,11354,609,166,3008,,5561,2943,3458,
4,41300,sępoleński,30,32678,0,12878,12,12874,0,0,12874,888,11986,130,0,0,0,0,0,0,,211,4581,183,96,1901,,2664,1211,1139,
4,41400,świecki,70,77826,3,31552,25,31555,3,31,31524,2295,29229,408,3,0,0,0,0,3,,519,11360,542,200,4763,,5994,3056,2795,
4,41600,tucholski,38,37612,0,16420,15,16420,0,19,16401,1219,15182,218,0,0,0,0,0,0,,204,5739,215,103,2336,,3627,1184,1774,
4,41900,żniński,56,56182,0,24295,12,24290,0,0,24290,1839,22451,134,0,0,0,0,0,0,,264,8247,328,141,3121,,4473,2509,3368,
4,46101,Bydgoszcz,203,287027,14,160716,144,160605,13,199,160406,4899,155507,1370,14,1,0,0,0,13,,2865,73898,3185,756,4542,,37416,19549,13296,
5,40100,aleksandrowski,43,46280,3,20647,35,20645,2,21,20624,1185,19439,1607,3,1,0,1,0,2,,238,7176,317,127,1907,,5351,2214,2109,
5,40200,brodnicki,54,60334,1,25393,26,25390,1,103,25287,1358,23929,220,1,0,0,0,0,1,,262,7594,304,125,5279,,6629,2018,1718,
5,40400,chełmiński,42,40591,2,16348,19,16346,1,1,16345,963,15382,96,2,1,0,0,0,1,,226,6291,217,82,1517,,3708,1599,1742,
5,40500,golubsko-dobrzyński,28,35694,1,13885,17,13888,1,34,13854,790,13064,129,1,0,0,0,0,1,,149,3815,327,75,1876,,3927,1461,1434,
5,40600,grudziądzki,34,31184,0,10938,9,10934,0,1,10933,726,10207,98,0,0,0,0,0,0,,188,3528,138,294,1529,,2620,1014,896,
5,40800,lipnowski,53,52464,1,18626,26,18626,1,0,18626,1319,17307,135,1,0,0,0,0,1,,205,4936,210,76,3814,,4786,1620,1660,
5,41100,radziejowski,42,34464,0,12210,14,12210,0,0,12210,937,11273,55,0,0,0,0,0,0,,152,2825,175,78,1905,,3518,1132,1488,
5,41200,rypiński,34,35581,2,12746,16,12747,2,23,12724,697,12027,86,2,0,0,0,0,2,,134,3517,233,62,2383,,3700,1136,862,
5,41500,toruński,58,74511,0,31943,34,31924,0,38,31886,1703,30183,191,0,0,0,0,0,0,,483,11861,673,145,3216,,8194,3020,2591,
5,41700,wąbrzeski,22,27800,0,10429,15,10426,0,0,10426,616,9810,50,0,0,0,0,0,0,,151,3753,137,48,1348,,2099,1194,1080,
5,41800,włocławski,74,69947,2,24571,20,24566,2,78,24488,1712,22776,222,2,0,0,0,0,2,,267,6705,313,272,3644,,6407,2576,2592,
5,46201,Grudziądz,54,78001,0,36247,31,36230,0,8,36222,1374,34848,234,0,0,0,0,0,0,,604,18574,412,240,1064,,7367,3785,2802,
5,46301,Toruń,126,159935,6,89284,57,89229,4,55,89174,2145,87029,1555,6,2,0,0,0,4,,1830,41367,1789,334,2468,,22556,8858,7827,
5,46401,Włocławek,61,94381,3,46267,39,46268,3,37,46231,1840,44391,263,3,0,0,0,0,3,,544,18739,642,220,1493,,10187,6114,6452,
6,60500,janowski,38,38576,0,19123,36,19114,0,30,19084,716,18368,114,0,0,0,0,0,0,,207,1479,568,46,2980,41,10545,992,1510,
6,60700,kraśnicki,84,80563,3,36945,38,36936,3,40,36896,1854,35042,177,3,0,0,0,0,3,,427,7688,607,171,4743,120,16125,3345,1816,
6,60800,lubartowski,86,72407,3,32295,47,32295,3,36,32259,1682,30577,178,3,0,0,0,0,3,,481,5452,680,168,6986,110,11543,3617,1540,
6,60900,lubelski,119,115089,0,53153,41,53137,0,30,53107,2398,50709,285,0,0,0,0,0,0,,910,8846,1155,263,11054,193,20263,5618,2407,
6,61000,łęczyński,47,45547,2,19330,20,19330,1,0,19330,1002,18328,108,2,1,0,0,0,1,,379,3642,513,119,2572,83,7010,2916,1094,
6,61100,łukowski,87,86017,1,38397,26,38381,1,11,38370,2152,36218,171,1,0,0,0,0,1,,339,6674,638,179,6621,258,14916,2061,4532,
6,61200,opolski,60,51482,0,20266,19,20260,0,37,20223,1142,19081,79,0,0,0,0,0,0,,233,3309,353,119,3414,60,7157,2233,2203,
6,61400,puławski,92,96474,3,47674,65,47657,2,18,47639,1879,45760,846,3,1,0,0,0,2,,857,14031,896,201,4508,166,17416,4806,2879,
6,61600,rycki,64,47698,0,23216,26,23208,0,28,23180,1154,22026,228,0,0,0,0,0,0,,294,3815,281,124,4308,58,8486,1999,2661,
6,61700,świdnicki,53,59253,1,27892,37,27889,1,30,27859,1016,26843,142,1,0,0,0,0,1,,594,7497,626,200,2643,115,10225,3498,1445,
6,66301,Lublin,212,276983,7,160553,125,160484,7,95,160389,3186,157203,3103,7,0,0,0,0,7,,4058,53819,5607,704,7777,615,53857,23054,7712,
7,60100,bialski,109,90852,1,40715,40,40710,1,37,40673,2388,38285,347,1,0,0,0,0,1,132,,6747,668,195,8802,,15256,3103,3382,
7,60200,biłgorajski,93,83682,0,38047,43,38042,0,96,37946,1764,36182,206,0,0,0,0,0,0,192,,4812,571,130,7182,,15733,5967,1595,
7,60300,chełmski,90,64815,2,22890,18,22892,2,4,22888,1822,21066,118,2,0,0,0,0,2,115,,3820,477,164,3532,,7727,2638,2593,
