Nr okr.,TERYT,Powiat,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1,201,bolesławiecki,64,70926,54373,23478,30895,20,212,8,8,-,-,-,-,8,30898,8,2,30896,1025,738,259,-,29871,10132,7818,1053,1822,1170,2865,2874,2137,,,,,,,,,
2,202,dzierżoniowski,81,84099,64274,26546,37728,33,212,33,33,-,-,2,-,31,37746,31,72,37674,1189,818,321,-,36485,12334,10498,1317,1511,821,3712,3264,2679,349,,,,,,,,
1,203,głogowski,55,70579,54593,18948,35645,11,183,13,13,-,-,-,-,13,35648,13,2,35646,993,788,181,-,34653,13833,8954,1270,1161,707,3739,2781,2208,,,,,,,,,
3,204,górowski,26,28362,21699,10935,10763,4,52,8,8,-,-,-,-,8,10768,8,-,10768,433,303,129,-,10335,3472,3158,330,351,930,600,963,446,,71,,,,14,,,
1,205,jaworski,39,42026,32255,14083,18172,5,102,10,10,-,-,-,-,10,18182,10,1,18181,550,427,115,-,17631,6572,3706,574,756,1413,1607,1900,1103,,,,,,,,,
1,206,jeleniogórski,55,52362,39942,16304,23638,16,558,15,15,-,-,-,-,15,23646,15,-,23646,750,494,255,-,22896,5862,7359,1012,987,1393,2017,2036,2230,,,,,,,,,
1,207,kamiennogórski,34,36143,27761,11724,16037,8,85,6,6,-,-,-,-,6,16041,6,-,16041,609,453,136,-,15432,4847,5205,578,597,336,1442,1455,972,,,,,,,,,
2,208,kłodzki,145,134249,102643,43922,58721,64,1604,33,31,3,-,-,-,28,58742,28,1,58741,2019,1487,454,-,56722,18367,17735,1871,2429,2976,4883,5032,2995,434,,,,,,,,
1,209,legnicki,46,43338,33050,13866,19184,14,93,12,11,-,-,-,-,11,19193,11,1,19192,671,521,134,-,18521,6816,4025,671,835,1431,1378,1924,1441,,,,,,,,,
1,210,lubański,46,45544,34856,15491,19365,13,240,16,16,-,-,-,-,16,19378,16,-,19378,606,413,187,-,18772,5892,4941,805,841,762,2387,1951,1193,,,,,,,,,
1,211,lubiński,75,84262,64909,19836,45072,16,218,22,20,1,-,-,-,19,45086,19,9,45077,1225,913,299,-,43852,19595,8472,1315,1707,1199,4632,4371,2561,,,,,,,,,
1,212,lwówecki,39,37828,29021,14003,15018,15,119,8,8,-,-,-,-,8,15026,8,-,15026,578,423,152,-,14448,4654,3613,588,630,986,1457,1707,813,,,,,,,,,
3,213,milicki,30,29574,22535,9640,12895,9,64,6,6,-,-,-,-,6,12897,6,-,12897,492,320,165,-,12405,4951,3129,371,420,791,932,990,688,,105,,,,28,,,
3,214,oleśnicki,64,84752,64219,25649,38570,25,182,10,10,-,-,-,-,10,38571,10,-,38571,1366,969,365,-,37205,11906,11751,1456,1832,1447,2427,3339,2696,,260,,,,91,,,
3,215,oławski,50,59742,45174,14652,30522,12,141,8,8,-,-,-,-,8,30526,8,-,30526,892,683,191,-,29634,10736,8833,942,1404,744,1781,2818,2073,,213,,,,90,,,
1,216,polkowicki,45,49038,37423,13455,23964,11,98,9,9,-,-,-,-,9,23973,9,-,23973,959,745,190,-,23014,10561,3797,717,1065,1574,2222,2129,949,,,,,,,,,
3,217,strzeliński,35,36276,27734,11646,16088,11,107,2,2,-,-,-,-,2,16090,2,-,16090,593,443,134,-,15497,6035,4010,437,485,1295,899,1499,721,,85,,,,31,,,
3,218,średzki,29,41774,31508,13066,18441,6,125,11,11,-,-,-,-,11,18450,11,-,18450,626,451,167,-,17824,6103,5139,618,752,899,1073,1881,1209,,92,,,,58,,,
2,219,świdnicki,113,128366,97938,37069,60869,56,275,38,35,1,1,-,-,33,60894,33,2,60892,1966,1413,442,-,58926,18601,17514,1917,2866,1293,4921,5632,5143,1039,,,,,,,,
3,220,trzebnicki,54,65796,50064,19392,30671,14,257,12,12,-,-,-,-,12,30672,12,1,30671,900,669,209,-,29771,10351,8422,1140,1428,1524,1637,2655,2360,,172,,,,82,,,
2,221,wałbrzyski,50,46301,35501,15593,19907,15,293,10,10,1,-,-,-,9,19915,9,-,19915,712,552,153,-,19203,5272,7252,719,997,628,1626,1460,1107,142,,,,,,,,
3,222,wołowski,34,39438,30241,12856,17385,4,72,9,9,-,-,-,-,9,17393,9,-,17393,671,472,181,-,16722,6075,5259,575,649,486,1077,1530,950,,85,,,,36,,,
3,223,wrocławski,85,101457,76907,21473,55432,26,581,39,38,3,-,-,-,35,55464,35,5,55459,1336,899,388,-,54123,17260,15015,2042,2717,2208,2565,5203,6638,,354,,,,121,,,
2,224,ząbkowicki,74,54640,41846,18802,23044,28,136,10,9,-,-,-,-,9,23053,9,-,23053,856,572,186,-,22197,7737,6651,688,679,1316,1544,2125,1220,237,,,,,,,,
1,225,zgorzelecki,87,74143,57082,24399,32683,15,199,14,14,-,-,-,-,14,32692,14,-,32692,1107,830,251,-,31585,11396,7551,1279,1340,714,3970,3557,1778,,,,,,,,,
1,226,złotoryjski,43,36422,27895,12794,15101,6,68,-,-,-,-,-,-,-,15097,-,-,15097,571,430,124,-,14526,5046,3958,581,667,659,1368,1265,982,,,,,,,,,
1,261,Jelenia Góra,46,65949,50886,17646,33240,20,456,18,18,1,-,-,-,17,33249,17,-,33249,632,386,239,-,32617,8824,10353,1202,1320,785,3751,2589,3793,,,,,,,,,
1,262,Legnica,49,78856,60384,20699,39685,11,231,34,30,1,-,-,-,29,39702,29,-,39702,741,496,218,-,38961,13340,10308,1358,1699,757,4463,3690,3346,,,,,,,,,
3,264,Wrocław,306,500890,377848,74406,303459,140,6077,372,354,12,-,-,-,342,303661,342,113,303548,3693,2107,1494,-,299855,86434,94866,14148,17303,3280,18941,24848,37975,,1342,,,,718,,,
2,265,Wałbrzych,72,91890,70797,29208,41588,16,175,7,6,-,-,-,-,6,41585,6,-,41585,1023,708,299,-,40562,10618,16774,1472,1593,414,3831,3121,2400,339,,,,,,,,
5,401,aleksandrowski,55,45984,34475,13665,20810,14,1194,10,10,1,-,-,1,8,20816,8,-,20816,784,586,179,-,20032,7440,4744,658,628,1363,2292,1730,1048,,85,,,44,,,,
5,402,brodnicki,60,60782,46402,19879,26523,16,172,1,1,-,-,-,-,1,26517,1,1,26516,1045,720,261,-,25471,9047,4734,658,721,3957,1874,3277,1090,,86,,,27,,,,
4,403,bydgoski,99,86346,65091,23204,41885,23,189,21,21,2,-,-,-,19,41901,19,1,41900,1118,781,301,-,40782,11197,11987,1633,2165,2283,3447,3763,3989,,318,,,,,,,
5,404,chełmiński,48,40303,31045,14432,16613,7,57,8,8,-,-,-,-,8,16620,8,1,16619,619,419,185,-,16000,4998,4579,572,610,1161,1456,1486,996,,100,,,42,,,,
5,405,golubsko-dobrzyński,32,36044,27432,12689,14742,11,75,10,10,-,-,-,-,10,14753,10,-,14753,549,411,132,-,14204,5351,2782,443,457,1719,1356,1447,507,,80,,,62,,,,
5,406,grudziądzki,42,31294,23967,12213,11754,6,38,6,6,-,-,-,-,6,11759,6,-,11759,409,310,93,-,11350,3955,2620,409,509,1086,938,1043,549,,72,,,169,,,,
4,407,inowrocławski,145,131651,100469,41911,58557,31,570,16,13,-,-,-,-,13,58566,13,-,58566,1974,1558,393,-,56592,17758,16434,2089,2025,3905,6485,4452,3067,,377,,,,,,,
5,408,lipnowski,68,52547,40432,20190,20242,24,118,6,6,-,-,-,-,6,20246,6,-,20246,1016,768,232,-,19230,6869,2965,544,617,4556,1594,1369,548,,128,,,40,,,,
4,409,mogileński,46,37207,28121,12599,15522,11,83,15,13,-,-,-,-,13,15534,13,-,15534,658,518,134,-,14876,4539,3491,506,613,2180,1508,1292,661,,86,,,,,,,
4,410,nakielski,82,67988,51981,22275,29705,18,141,9,9,-,-,-,-,9,29714,9,-,29714,1327,1010,296,-,28387,8336,7439,1021,1366,2683,3718,2116,1505,,203,,,,,,,
5,411,radziejowski,51,34224,26109,13012,13097,17,56,5,5,-,-,-,-,5,13099,5,-,13099,588,403,172,-,12511,5301,2093,417,368,1200,1496,1088,462,,59,,,27,,,,
5,412,rypiński,45,35342,26959,13550,13409,23,63,1,1,-,-,-,-,1,13407,1,-,13407,495,389,94,-,12912,5285,2643,368,402,1556,1017,1029,548,,49,,,15,,,,
4,413,sępoleński,42,32392,24539,11478,13061,10,83,4,4,-,-,-,-,4,13065,4,1,13064,488,373,106,-,12576,3979,3641,441,377,1352,1101,964,611,,110,,,,,,,
4,414,świecki,94,77695,58945,26742,32202,33,210,19,18,1,-,1,-,17,32218,17,3,32215,1259,947,264,-,30956,9365,8420,1171,1572,3420,2382,2702,1690,,234,,,,,,,
5,415,toruński,67,78190,59598,24187,35411,21,184,16,14,-,-,-,-,14,35418,14,1,35417,1127,784,298,-,34290,11591,9167,1311,1458,1947,2900,2941,2668,,243,,,64,,,,
4,416,tucholski,51,37948,28442,11883,16556,16,109,-,-,-,-,-,-,-,16555,-,-,16555,641,450,168,-,15914,5522,3738,528,632,1986,1059,1355,971,,123,,,,,,,
5,417,wąbrzeski,29,27437,21008,10477,10531,8,29,1,1,-,-,-,-,1,10530,1,-,10530,408,303,102,-,10122,3040,2493,400,462,866,1086,1117,565,,56,,,37,,,,
5,418,włocławski,82,70138,53415,27062,26353,28,125,3,2,-,-,-,-,2,26353,2,-,26353,1177,866,262,-,25176,10199,4306,876,751,2452,3348,2037,987,,114,,,106,,,,
4,419,żniński,78,56091,42276,18628,23648,17,115,14,13,-,-,-,-,13,23659,13,-,23659,970,726,196,-,22689,7057,5808,783,903,2126,2430,1744,1698,,140,,,,,,,
4,461,Bydgoszcz,205,276759,211576,57946,153627,56,1286,152,149,5,1,2,-,141,153739,141,2,153737,2232,1437,719,-,151505,45271,49990,5890,7349,2766,15453,10692,13142,,952,,,,,,,
5,462,Grudziądz,54,73733,57429,23012,34417,22,136,20,20,-,-,1,-,19,34429,19,-,34429,770,524,234,-,33659,9805,11532,1306,1605,745,3954,2520,2007,,138,,,47,,,,
5,463,Toruń,124,155767,121786,34718,87066,45,1038,32,31,3,-,-,-,28,87083,28,2,87081,1320,836,431,-,85761,26177,26978,3411,4145,1078,9173,5512,8628,,613,,,46,,,,
5,464,Włocławek,68,90717,70375,27579,42794,17,196,18,16,-,-,-,-,16,42804,16,6,42798,1006,701,269,-,41792,12645,11796,1854,1401,790,6519,3563,2960,,218,,,46,,,,
7,601,bialski,115,90444,69444,27227,42216,37,343,7,7,-,-,-,-,7,42215,7,1,42214,1403,1062,312,-,40811,19593,4686,874,1734,4763,4445,3572,1078,,,,,66,,,,
7,602,biłgorajski,98,83310,64156,24171,39985,45,230,9,7,-,-,-,-,7,39986,7,3,39983,966,722,214,-,39017,21309,2951,716,1854,5782,1641,3697,1021,,,,,46,,,,
7,603,chełmski,91,64542,49357,24893,24464,41,141,7,7,-,-,-,-,7,24470,7,-,24470,908,652,246,-,23562,10881,2771,719,929,3145,1152,3083,814,,,,,68,,,,
7,604,hrubieszowski,69,55327,42742,20951,21791,22,165,6,6,2,-,-,-,4,21793,4,5,21788,760,557,170,-,21028,10096,3015,466,772,3226,930,1952,503,,,,,68,,,,
6,605,janowski,38,38370,29510,9290,20221,39,84,4,4,-,-,-,-,4,20221,4,-,20221,426,303,112,-,19795,13515,1125,255,669,1668,700,1390,260,,,14,,151,48,,,
7,606,krasnostawski,93,55178,42598,18825,23773,14,160,9,9,-,-,-,-,9,23779,9,2,23777,690,471,190,-,23087,10574,2393,500,1507,3327,1284,2107,1317,,,,,78,,,,
6,607,kraśnicki,86,79177,60859,22930,37930,39,138,4,3,-,-,-,-,3,37923,3,-,37923,1210,857,315,-,36713,19273,5302,836,1386,3852,1682,3453,771,,,26,,62,70,,,
6,608,lubartowski,91,71582,54970,20480,34490,39,166,8,7,-,-,-,-,7,34485,7,1,34484,1021,722,278,-,33463,16533,4333,861,1718,3854,1596,3272,1090,,,59,,34,113,,,
6,609,lubelski,129,119143,91022,29975,61047,39,295,19,19,-,-,-,-,19,61059,19,-,61059,1535,1118,402,-,59524,28737,6737,1513,3177,8423,2422,5633,2576,,,76,,64,166,,,
6,610,łęczyński,53,45284,34635,13186,21449,3,122,4,4,-,-,-,-,4,21449,4,1,21448,667,494,165,-,20781,10137,2549,634,1267,1705,952,2736,666,,,36,,31,68,,,
6,611,łukowski,98,85357,65208,24123,41085,27,223,18,18,-,-,-,-,18,41094,18,-,41094,1341,1019,290,-,39753,22656,4574,773,1727,3924,1565,3051,1280,,,71,,41,91,,,
6,612,opolski,62,50314,38775,17492,21283,10,121,4,2,-,-,-,-,2,21284,2,1,21283,780,529,157,-,20503,10127,2465,581,748,2220,1442,2258,534,,,22,,17,89,,,
7,613,parczewski,38,29496,22666,9569,13097,12,99,1,1,-,-,-,-,1,13098,1,-,13098,393,292,96,-,12705,6154,1427,310,533,1548,863,1299,555,,,,,16,,,,
6,614,puławski,97,94962,73365,23360,50184,62,654,26,26,1,-,-,-,25,50206,25,6,50200,1156,791,340,-,49044,22546,9054,1511,2327,3285,2677,5122,2247,,,64,,78,133,,,
7,615,radzyński,55,48842,37547,14438,23109,21,111,4,3,-,-,-,-,3,23109,3,-,23109,671,492,177,-,22438,11527,1798,463,882,4075,1044,1862,746,,,,,41,,,,
6,616,rycki,74,46660,35771,12744,23027,26,147,9,8,-,-,-,-,8,23034,8,-,23034,707,486,181,-,22327,10388,2780,601,824,3131,1230,2574,698,,,33,,22,46,,,
