,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
0,0,2014-11-02,president_a,RO122,Brasov,0,eligible_voters,eligible_voters,517676,RO122,Braşov
1,1,2014-11-02,president_a,RO122,Brasov,1,issued_ballots,issued_ballots,283279,RO122,Braşov
2,0,2014-11-02,president_a,RO122,Brasov,2,IOHANNIS KLAUS-WERNER,PNL,107422,RO122,Braşov
3,1,2014-11-02,president_a,RO122,Brasov,2,PONTA VICTOR-VIOREL,PSD,84701,RO122,Braşov
4,2,2014-11-02,president_a,RO122,Brasov,2,POPESCU-TARICEANU CALIN-CONSTANTIN-ANTON,,19393,RO122,Braşov
5,3,2014-11-02,president_a,RO122,Brasov,2,MACOVEI MONICA-LUISA,,15539,RO122,Braşov
6,4,2014-11-02,president_a,RO122,Brasov,2,UDREA ELENA-GABRIELA,PMP,11689,RO122,Braşov
7,5,2014-11-02,president_a,RO122,Brasov,2,KELEMEN HUNOR,UDMR,10074,RO122,Braşov
8,6,2014-11-02,president_a,RO122,Brasov,2,VADIM-TUDOR CORNELIU,PRM,9989,RO122,Braşov
9,7,2014-11-02,president_a,RO122,Brasov,2,DIACONESCU CRISTIAN-DAN,Partidul Popular Dan Diaconescu,7283,RO122,Braşov
10,8,2014-11-02,president_a,RO122,Brasov,2,MELESCANU TEODOR-VIOREL,,3741,RO122,Braşov
11,9,2014-11-02,president_a,RO122,Brasov,2,BRINZA WILLIAM GABRIEL,PER,2187,RO122,Braşov
12,10,2014-11-02,president_a,RO122,Brasov,2,FUNAR GHEORGHE,,1528,RO122,Braşov
13,11,2014-11-02,president_a,RO122,Brasov,2,SZILAGYI ZSOLT,PPMT,1041,RO122,Braşov
14,12,2014-11-02,president_a,RO122,Brasov,2,ROTARU CONSTANTIN,,615,RO122,Braşov
15,13,2014-11-02,president_a,RO122,Brasov,2,AMARITEI MIREL-MIRCEA,,179,RO122,Braşov
16,0,1996-11-03,president_a,RO124,Harghita,0,eligible_voters,eligible_voters,250204,RO124,Harghita
17,1,1996-11-03,president_a,RO124,Harghita,1,issued_ballots,issued_ballots,217702,RO124,Harghita
18,0,1996-11-03,president_a,RO124,Harghita,2,GYORGY FRUNDA,UDMR,171907,RO124,Harghita
19,1,1996-11-03,president_a,RO124,Harghita,2,ION ILIESCU,F.D.S.N.,11587,RO124,Harghita
20,2,1996-11-03,president_a,RO124,Harghita,2,EMIL CONSTANTINESCU,C.D.R.,11288,RO124,Harghita
21,3,1996-11-03,president_a,RO124,Harghita,2,PETRE ROMAN,USD,9175,RO124,Harghita
22,4,1996-11-03,president_a,RO124,Harghita,2,GHEORGHE FUNAR,PUNR,4257,RO124,Harghita
23,5,1996-11-03,president_a,RO124,Harghita,2,CORNELIU VADIM TUDOR,,1952,RO124,Harghita
24,6,1996-11-03,president_a,RO124,Harghita,2,TUDOR MOHORA,,734,RO124,Harghita
25,7,1996-11-03,president_a,RO124,Harghita,2,ADRIAN PAUNESCU,,425,RO124,Harghita
26,8,1996-11-03,president_a,RO124,Harghita,2,NICOLAE MILITARU,Independent,352,RO124,Harghita
27,9,1996-11-03,president_a,RO124,Harghita,2,NICOLAE MANOLESCU,,343,RO124,Harghita
28,10,1996-11-03,president_a,RO124,Harghita,2,GEORGE MUNTEAN,,323,RO124,Harghita
29,11,1996-11-03,president_a,RO124,Harghita,2,RADU CAMPEANU,,316,RO124,Harghita
30,12,1996-11-03,president_a,RO124,Harghita,2,CONSTANTIN NICULESCU,,307,RO124,Harghita
31,13,1996-11-03,president_a,RO124,Harghita,2,NUTU ANGHELINA,Independent,265,RO124,Harghita
32,14,1996-11-03,president_a,RO124,Harghita,2,IOAN POP DE POPA,,222,RO124,Harghita
