Country code,NUTS Code,NUTS label,NUTS level,Country order,#
RO,RO1,Macroregiunea Unu,1,23,1428
RO,RO11,Nord-Vest,2,23,1429
RO,RO111,Bihor,3,23,1430
RO,RO112,Bistriţa-Năsăud,3,23,1431
RO,RO113,Cluj,3,23,1432
RO,RO114,Maramureş,3,23,1433
RO,RO115,Satu Mare,3,23,1434
RO,RO116,Sălaj,3,23,1435
RO,RO12,Centru,2,23,1436
RO,RO121,Alba,3,23,1437
RO,RO122,Braşov,3,23,1438
RO,RO123,Covasna,3,23,1439
RO,RO124,Harghita,3,23,1440
RO,RO125,Mureş,3,23,1441
RO,RO126,Sibiu,3,23,1442
RO,RO2,Macroregiunea Doi,1,23,1443
RO,RO21,Nord-Est,2,23,1444
RO,RO211,Bacău,3,23,1445
RO,RO212,Botoşani,3,23,1446
RO,RO213,Iaşi,3,23,1447
RO,RO214,Neamţ,3,23,1448
RO,RO215,Suceava,3,23,1449
RO,RO216,Vaslui,3,23,1450
RO,RO22,Sud-Est,2,23,1451
RO,RO221,Brăila,3,23,1452
RO,RO222,Buzău,3,23,1453
RO,RO223,Constanţa,3,23,1454
RO,RO224,Galaţi,3,23,1455
RO,RO225,Tulcea,3,23,1456
RO,RO226,Vrancea,3,23,1457
RO,RO3,Macroregiunea Trei,1,23,1458
RO,RO31,Sud-Muntenia,2,23,1459
RO,RO311,Argeş,3,23,1460
RO,RO312,Călăraşi,3,23,1461
RO,RO313,Dâmboviţa,3,23,1462
RO,RO314,Giurgiu,3,23,1463
RO,RO315,Ialomiţa,3,23,1464
RO,RO316,Prahova,3,23,1465
RO,RO317,Teleorman,3,23,1466
RO,RO32,Bucureşti-Ilfov,2,23,1467
RO,RO321,Bucureşti,3,23,1468
RO,RO322,Ilfov,3,23,1469
RO,RO4,Macroregiunea Patru,1,23,1470
RO,RO41,Sud-Vest Oltenia,2,23,1471
RO,RO411,Dolj,3,23,1472
RO,RO412,Gorj,3,23,1473
RO,RO413,Mehedinţi,3,23,1474
RO,RO414,Olt,3,23,1475
RO,RO415,Vâlcea,3,23,1476
RO,RO42,Vest,2,23,1477
RO,RO421,Arad,3,23,1478
RO,RO422,Caraş-Severin,3,23,1479
RO,RO423,Hunedoara,3,23,1480
RO,RO424,Timiş,3,23,1481
RO,ROZ,Extra-Regio NUTS 1,1,23,1482
RO,ROZZ,Extra-Regio NUTS 2,2,23,1483
RO,ROZZZ,Extra-Regio NUTS 3,3,23,1484
