,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congreso | Julio 2023 | Resultados por circunscripción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PARTIDO POPULAR,,PARTIDO SOCIALISTA OBRERO ESPAÑOL,,VOX,,SUMAR,,ESQUERRA REPUBLICANA DE CATALUNYA,,JUNTS PER CATALUNYA - JUNTS,,EUSKAL HERRIA BILDU,,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,,BLOQUE NACIONALISTA GALEGO,,COALICIÓN CANARIA,,UNION DEL PUEBLO NAVARRO,,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,,CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA,,FRENTE OBRERO,,NUEVA CANARIAS - BLOQUE CANARISTA,,PARTIT DEMÒCRATA EUROPEU CATALÀ-ESPAI CIU,,RECORTES CERO,,POR UN MUNDO MÁS JUSTO,,UNIÓN DEL PUEBLO LEONÉS,,ARAGÓN EXISTE - COALICIÓN EXISTE,,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,,GEROA BAI,,SORIA ¡YA!,,ADELANTE ANDALUCÍA,,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS,,JAÉN MERECE MÁS,,POR ÁVILA,,BLOQUE EXTREMEÑO,,CAMINANDO JUNTOS,,FALANGE ESPAÑOLA DE LAS J.O.N.S.,,PARTIDO ARAGONÉS,,ESPAÑA VACIADA,,PARTIDO HUMANISTA,,ASTURIAS EXISTE-ESPAÑA VACIADA,,POR HUELVA,,VAMOS PALENCIA,,ZAMORA SÍ,,VÍA BURGALESA,,POR MI REGIÓN,,AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO,,PARTIDO AUTÓNOMOS,,ESTAT VALENCIÀ DEL BENESTAR,,COALICIÓN POR MELILLA,,JUNTOS POR GRANADA,,ESPAÑA VACIADA-PARTIDO CASTELLANO-TIERRA COMUNERA,,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,,SOMOS CÁCERES,,ALMERIENSES - REGIONALISTAS PRO ALMERÍA,,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN,,TERCERA EDAD EN ACCIÓN,,UNIDAD CASTELLANA,,GRUPO INDEPENDIENTE PALENCIA TIERRA VIVA,,PARTIDO UNIONISTA ESTADO DE ESPAÑA,,ENTRE VEÏNS CATALUNYA,,LIBRES,,UNIDOS POR LA SOLIDARIDAD INTERNACIONAL,,REFERÉNDUM SISTEMA DINERO,,COALICIÓN DE CENTRO DEMOCRÁTICO,,FUERZA CÍVICA,
,,,,,,,,,,,,,,,PP,,PSOE,,VOX,,SUMAR,,ERC,,JxCAT - JUNTS,,EH Bildu,,EAJ-PNV,,B.N.G.,,CCa,,U.P.N.,,PACMA,,CUP-PR,,FO,,NC-bc,,PDeCAT-E-CiU,,RECORTES CERO,,PUM+J,,U.P.L.,,EXISTE,,PCTE,,GBAI,,SY,,ADELANTE ANDALUCÍA,,ESCAÑOS EN BLANCO,,JM+,,XAV,,BQEX,,CJ,,FE de las JONS,,PAR,,ESPAÑA VACIADA,,PH,,ASTURIAS EXISTE EV,,XH,,VP,,Zsi,,VB,,POR MI REGIÓN,,AHORA CANARIAS-PCPC,,PARTIDO AUTÓNOMOS,,EVB,,CpM,,JxG,,EV-PCAS-TC,,PREPAL,,Somos Cc,,ALM,,F.I.A.,,3e,,Ud.Ca,,GITV,,PUEDE,,EVC,,LB,,UNIDOS SI,,+RDS+,,CCD,,FUERZA CÍVICA,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Andalucía,4,Almería,740534,837,471427,44687,516114,321424,2981,324405,321242,318778,2464,3163,131524,3,93282,2,68364,1,21485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,500,0,0,0,0,0,206,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0
Andalucía,11,Cádiz,1246781,1528,986857,31101,1017958,641933,2868,644801,637098,629995,7103,7703,221703,4,211200,3,96720,1,82115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5937,0,0,0,1225,0,0,0,0,0,486,0,673,0,0,0,0,0,0,0,0,0,0,0,9191,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,14,Córdoba,772464,948,626123,19165,645288,453432,2132,455564,448602,444254,4348,6962,169976,2,144080,2,62526,1,61594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,0,0,0,701,0,0,0,0,0,392,0,598,0,0,0,0,0,746,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,18,Granada,921987,1121,712178,53300,765478,504830,4656,509486,502845,498788,4057,6641,185996,3,165862,2,81080,1,58567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,0,0,0,658,0,0,0,0,0,343,0,765,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,21,Huelva,528763,651,394310,8194,402504,260172,689,260861,256804,254394,2410,4057,93565,2,92326,2,37572,1,26752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0,0,0,0,0,0,0,217,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,23,Jaén,623761,873,504825,13546,518371,372097,1560,373657,368731,366234,2497,4926,137617,2,133819,2,54400,1,29461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,0,410,0,0,0,0,0,203,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,29,Málaga,1717504,1734,1178993,60853,1239846,792942,5615,798557,788338,780829,7509,10219,302000,5,239172,3,129758,2,96652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0,1662,0,0,0,0,0,888,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,41,Sevilla,1948393,2588,1525548,38534,1564082,1070436,4697,1075133,1059358,1048407,10951,15775,353663,4,387760,5,141087,1,148745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9288,0,0,0,1950,0,0,0,0,0,1034,0,1765,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
