,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parlamento europeo | Junio 2024 | Resultados por provincia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PARTIDO POPULAR,,PARTIDO SOCIALISTA OBRERO ESPAÑOL,,VOX,,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),,SUMAR,,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",,PODEMOS,,JUNTS I LLIURES PER EUROPA,,COALICIÓN POR UNA EUROPA SOLIDARIA,,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE,,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,,FRENTE OBRERO,,LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO,,IZQUIERDA ESPAÑOLA,,FEMINISTAS AL CONGRESO,,IUSTITIA EUROPA,,AHORA ANDALUCÍA,,VOLT ESPAÑA,,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS,,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,,PIRATAS - ALIANZA REBELDE - EUROPEAN PIRATES,,COALICIÓN PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA / PARTIT COMUNISTA DEL POBLE DE CATALUNYA,,FALANGE ESPAÑOLA DE LAS J.O.N.S.,,SOBERANÍA ALIMENTARIA ESPAÑOLA,,CREE EN EUROPA,,RECORTES CERO,,PARTIDO HUMANISTA,,PAIS I MOVIMENT RURAL,,SALAMANCA-ZAMORA-LEÓN PREPAL,,PARTIDO GALEGO,,FUTURO,,JUNTOS POR EXTREMADURA,,CORRIENTE REVOLUCIONARIA DE LOS TRABAJADORES,,EXTREMEÑOS PREX CREX,
,,,,,,,,,,,,,,,PP,,PSOE,,VOX,,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),,SUMAR,,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",,PODEMOS,,JUNTS UE,,CEUS,,PACMA,,Cs,,FO,,EXISTE,,IZQESP,,PFAC,,IE,,ANDALUCISTAS,,VOLT,,ESCAÑOS EN BLANCO,,PCTE,,PIRATAS / REBELDES,,PCPE/PCPC,,FE de las JONS,,SAE,,CREE EN EUROPA,,RECORTES CERO,,PH,,PMR,,PREPAL,,GLG,,F,,J.U.E.X.,,CRT,,EXTREMEÑOS,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Andalucía,4,Almería,753920,846,482959,45171,528130,217454,924,218378,217058,215612,1446,1320,92886,,58074,,33075,,196,,6072,,15223,,3847,,41,,53,,1265,,1266,,722,,121,,276,,207,,296,,404,,431,,177,,117,,79,,81,,111,,152,,60,,103,,52,,38,,22,,33,,48,,18,,46,,20,
Andalucía,11,Cádiz,1250539,1528,994637,31207,1025844,394589,1176,395765,392812,389325,3487,2953,144359,,125075,,42282,,548,,21821,,25449,,11309,,198,,127,,3784,,3000,,1260,,411,,935,,651,,476,,4025,,704,,345,,367,,219,,280,,169,,203,,214,,189,,205,,133,,60,,105,,165,,57,,151,,49,
Andalucía,14,Córdoba,773997,950,628898,18848,647746,305530,784,306314,302782,300017,2765,3532,120101,,94932,,30759,,182,,19797,,16143,,7792,,42,,64,,1782,,2182,,858,,133,,580,,313,,263,,1380,,481,,297,,418,,101,,349,,177,,183,,132,,165,,98,,59,,25,,33,,88,,45,,48,,15,
Andalucía,18,Granada,930181,1122,719996,53437,773433,347220,1579,348799,345898,343560,2338,2901,132468,,110686,,40032,,450,,16479,,20674,,10328,,50,,91,,2243,,2575,,1020,,407,,716,,476,,485,,1473,,644,,231,,378,,141,,266,,179,,309,,168,,135,,109,,51,,31,,37,,109,,34,,69,,16,
Andalucía,21,Huelva,530824,654,400846,8166,409012,162587,326,162913,160990,159601,1389,1923,61760,,56846,,16356,,141,,6722,,7865,,3867,,82,,44,,990,,1036,,391,,109,,228,,177,,475,,1119,,254,,230,,94,,66,,83,,72,,115,,98,,64,,65,,60,,25,,22,,57,,37,,30,,21,
Andalucía,23,Jaén,620242,745,504186,13467,517653,249904,471,250375,247256,245494,1762,3119,98220,,87612,,26836,,123,,8599,,10993,,4681,,36,,39,,1234,,1341,,544,,1590,,302,,194,,148,,1041,,271,,252,,172,,65,,167,,149,,292,,140,,113,,66,,78,,17,,20,,59,,17,,65,,18,
Andalucía,29,Málaga,1751600,1569,1208150,61914,1270064,527936,2115,530051,525927,522079,3848,4124,203575,,155396,,59751,,534,,26104,,39058,,14864,,374,,162,,5674,,4553,,1789,,298,,1042,,694,,1105,,2236,,904,,739,,473,,227,,380,,242,,233,,362,,224,,237,,245,,93,,68,,218,,78,,94,,53,
Andalucía,41,Sevilla,1957210,2595,1538086,38824,1576910,730352,1888,732240,724666,718112,6554,7574,251147,,249402,,69583,,749,,43307,,45666,,25480,,179,,195,,6230,,5871,,2311,,551,,1620,,1014,,921,,7730,,1066,,732,,794,,354,,491,,411,,418,,423,,256,,281,,91,,104,,75,,253,,148,,154,,105,
