country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES530,Balears,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,283,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,144,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,33295,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,CN+EP,NA,NA,NA,20155,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,989,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,13538,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,OTHER,NA,NA,NA,9017,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,170083,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,100023,645702,367957,361126
Spain,ES,3,ES530,Balears,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,5750,645702,367957,361126
Spain,ES,3,ES700,Canarias,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,811,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,276186,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,369,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,CN+EP,NA,NA,NA,809,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,1104,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,23634,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,OTHER,NA,NA,NA,20091,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,273296,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,200628,1373597,826012,817592
Spain,ES,3,ES700,Canarias,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,8285,1373597,826012,817592
Spain,ES,3,ES111,A Coruna,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,138295,1028448,600489,595119
